Wall time,Step,Value
1743783589.2478437,3561,-46.78947448730469
1743783648.7702491,8979,-47.099998474121094
1743783681.7179186,11892,-48.61000061035156
1743783684.082461,12092,-48.61000061035156
1743783701.4872768,13692,-49.11000061035156
1743783737.294999,17201,-49.06999969482422
1743783765.5313025,19952,-49.06999969482422
1743783773.8854222,20703,-48.56999969482422
1743783816.9632385,24810,-48.54999923706055
1743783820.571744,25165,-48.59000015258789
1743783873.320042,30393,-48.2400016784668
1743783879.3174307,30993,-48.68000030517578
1743783886.1978312,31654,-47.2599983215332
1743783904.0480392,33254,-48.2599983215332
1743783941.7629206,36737,-46.75
1743783965.6765282,39088,-47.43000030517578
1743784022.8826795,44117,-48.25
1743784056.4856248,46997,-47.93000030517578
1743784058.4977145,47197,-47.93000030517578
1743784095.3740563,49997,-48.77000045776367
1743784156.4654381,54387,-47.849998474121094
1743784164.8868093,54987,-47.849998474121094
1743784248.834915,60952,-48.09000015258789
1743784256.5852613,61552,-49.13999938964844
1743784324.2007353,66587,-46.27000045776367
1743784356.8864768,68901,-46.34000015258789
1743784379.204889,70445,-48.040000915527344
1743784409.5378282,72605,-46.959999084472656
1743784430.3295934,74156,-46.959999084472656
1743784472.0484242,77139,-47.279998779296875
1743784504.6742046,79567,-46.38999938964844
1743784556.1258962,83445,-46.369998931884766
1743784558.67941,83645,-46.369998931884766
1743784581.8572843,85262,-46.33000183105469
1743784619.3652413,87972,-45.150001525878906
1743784629.1993034,88734,-45.36000061035156
1743784652.4241295,90468,-44.61000061035156
1743784666.940447,91389,-43.79999923706055
1743784669.4981308,91589,-43.79999923706055
1743784737.4553072,96856,-44.959999084472656
1743784802.1335204,101156,-45.93000030517578
1743784814.8320787,102107,-47.810001373291016
1743784819.3319328,102467,-47.75
1743784861.1464071,105394,-45.869998931884766
1743784876.267051,106515,-45.97999954223633
1743784944.1368155,111566,-45.29999923706055
1743784953.3454852,112236,-44.380001068115234
1743784958.9899626,112636,-45.31999969482422
1743785033.486592,118313,-42.83000183105469
1743785053.2830486,119864,-45.529998779296875
1743785066.9039135,120949,-46.54999923706055
1743785068.922275,121109,-46.13999938964844
1743785101.026531,123676,-46.02000045776367
1743785120.4944034,125227,-44.20000076293945
1743785138.9132094,126695,-45.2400016784668
1743785242.0186062,134900,-44.939998626708984
1743785251.7091844,135658,-44.83000183105469
1743785345.2831683,143055,-46.75
1743785371.4392157,145116,-47.029998779296875
1743785385.6968596,146242,-45.36000061035156
1743785401.3943906,147311,-44.439998626708984
1743785437.9335778,150145,-43.90999984741211
1743785503.7464032,155346,-46.83000183105469
1743785562.3713462,159962,-46.06999969482422
1743785582.2987802,161525,-44.91999816894531
1743785627.6810808,165058,-44.369998931884766
1743785753.5520666,175035,-45.400001525878906
1743785883.135616,185400,-45.90999984741211
1743785894.6763828,186322,-45.11000061035156
1743785916.471752,188065,-42.2400016784668
1743785932.2801812,189333,-42.72999954223633
1743785940.881914,190016,-42.33000183105469
1743785945.969728,190416,-42.33000183105469
1743785966.1625404,192006,-44.04999923706055
1743786008.4093442,195351,-43.40999984741211
1743786042.2186341,198042,-44.779998779296875
