Wall time,Step,Value
1743776601.7812526,3751,-49.342105865478516
1743776728.8215668,12080,-46.59000015258789
1743776860.2599814,20764,-47.650001525878906
1743777049.3785396,33366,-48.619998931884766
1743777255.5665941,47041,-47.33000183105469
1743777297.460194,49815,-46.810001373291016
1743777360.6536615,54054,-46.29999923706055
1743777684.6765995,76264,-46.83000183105469
1743777720.6487768,78705,-47.04999923706055
1743777782.3122025,82902,-47.91999816894531
1743777860.2104425,88223,-47.150001525878906
1743777979.1616774,96314,-45.279998779296875
1743778044.652795,100737,-47.83000183105469
1743778059.330732,101737,-48.189998626708984
1743778107.2324672,105002,-46.56999969482422
1743778216.446136,112275,-43.849998474121094
1743778345.0625384,119801,-44.95000076293945
1743778366.0502849,120961,-45.93000030517578
1743778407.5513885,123571,-45.220001220703125
1743778708.3931582,142970,-43.47999954223633
1743778819.2326066,150295,-45.310001373291016
1743778991.784093,161745,-44.86000061035156
1743779050.6768115,165399,-44.689998626708984
1743779432.316474,188237,-44.58000183105469
1743779461.9274755,190091,-42.630001068115234
1743779492.4569938,191941,-42.43000030517578
1743779729.281831,207191,-39.2599983215332
1743779745.5851817,208275,-38.88999938964844
1743779800.1759372,211919,-43.619998931884766
1743779829.6944318,213888,-43.95000076293945
1743779860.437669,215939,-42.0
1743779880.7013085,217290,-42.119998931884766
1743780060.412233,229234,-45.290000915527344
1743780066.4644518,229634,-45.290000915527344
1743780103.5245414,232078,-45.720001220703125
1743780113.6418102,232751,-45.2599983215332
1743780389.152541,251260,-43.790000915527344
1743780494.1707368,258476,-44.459999084472656
1743780599.2556458,265697,-43.06999969482422
1743780691.0094788,272001,-45.34000015258789
1743780730.6198637,274717,-43.5
1743780738.0273316,275226,-43.29999923706055
1743780824.7251275,281154,-41.619998931884766
1743780832.9038105,281714,-42.52000045776367
1743780866.567275,284018,-42.439998626708984
1743781013.1624737,294028,-41.09000015258789
1743781035.6086886,295560,-43.63999938964844
1743781122.2166042,301498,-43.380001068115234
1743781222.0333023,308343,-41.630001068115234
1743781557.1355786,331281,-41.54999923706055
1743781678.542394,339570,-39.61000061035156
1743781700.717182,341084,-39.36000061035156
1743781775.8371735,346268,-42.11000061035156
1743781825.2963917,349668,-42.09000015258789
1743781828.1974456,349868,-42.5
1743782123.7393506,369656,-41.88999938964844
1743782420.65043,390972,-40.560001373291016
1743782779.44821,414660,-39.34000015258789
1743782980.5383863,427616,-42.060001373291016
1743782993.63134,428420,-42.540000915527344
1743783028.661376,430450,-39.11000061035156
1743783049.0640006,431656,-38.11000061035156
1743783055.569295,432057,-37.02000045776367
1743783150.2708435,437906,-38.290000915527344
1743783343.1533163,450140,-41.11000061035156
1743783345.5813081,450295,-41.06999969482422
1743783398.6047962,453548,-38.97999954223633
1743783488.2830422,459419,-40.630001068115234
1743783510.8662868,460826,-41.5
