Wall time,Step,Value
1744246061.105105,153,-38.0
1744246061.6462712,353,-44.0
1744246062.198523,553,-46.0
1744246062.7477264,753,-47.0
1744246063.2933345,953,-47.599998474121094
1744246063.8308403,1153,-48.0
1744246064.2426012,1305,-46.53571319580078
1744246064.735766,1484,-46.28125
1744246065.2581007,1684,-46.69444274902344
1744246065.7857413,1884,-47.025001525878906
1744246066.3128731,2084,-47.29545593261719
1744246066.8460546,2284,-47.52083206176758
1744246067.3660533,2484,-47.71154022216797
1744246067.7601159,2635,-46.98214340209961
1744246068.2810266,2835,-47.18333435058594
1744246068.8016303,3035,-47.359375
1744246069.328475,3235,-47.514705657958984
1744246069.7478523,3395,-47.08333206176758
1744246070.1536996,3546,-46.578948974609375
1744246070.6882143,3746,-46.75
1744246071.225378,3946,-46.904762268066406
1744246071.759223,4146,-47.04545593261719
1744246072.2718809,4346,-47.173912048339844
1744246072.6770704,4497,-46.77083206176758
1744246073.225925,4697,-46.900001525878906
1744246073.737968,4897,-47.380001068115234
1744246074.277749,5097,-47.380001068115234
1744246074.8125598,5297,-47.380001068115234
1744246075.254201,5458,-46.97999954223633
1744246075.790713,5658,-46.97999954223633
1744246076.3305535,5858,-46.97999954223633
1744246076.7364683,6012,-47.0
1744246077.2738738,6212,-47.220001220703125
1744246077.8050616,6412,-47.220001220703125
1744246078.2120514,6566,-46.75
1744246078.7558749,6766,-46.75
1744246079.1855893,6919,-46.27000045776367
1744246079.7458017,7119,-46.27000045776367
1744246080.174993,7271,-46.279998779296875
1744246080.6019354,7424,-45.79999923706055
1744246081.1623213,7624,-45.79999923706055
1744246081.7336972,7824,-45.79999923706055
1744246082.0238814,7928,-45.22999954223633
1744246082.5825772,8128,-45.72999954223633
1744246083.1369271,8328,-45.72999954223633
1744246083.5790536,8480,-45.2400016784668
1744246084.0009482,8634,-44.77000045776367
1744246084.4586213,8788,-44.29999923706055
1744246085.0087066,8988,-44.79999923706055
1744246085.5547636,9188,-44.79999923706055
1744246085.9843376,9339,-44.29999923706055
1744246086.5362875,9539,-44.29999923706055
1744246086.9830172,9693,-43.83000183105469
1744246087.5517523,9893,-44.22999954223633
1744246088.1029875,10093,-44.22999954223633
1744246088.6688006,10293,-44.22999954223633
1744246089.2422106,10493,-44.70000076293945
1744246089.6994092,10651,-44.27000045776367
1744246089.9973397,10756,-43.29999923706055
1744246090.5396912,10956,-43.77000045776367
1744246091.0894732,11156,-43.77000045776367
1744246091.6164577,11356,-44.25
1744246092.0419583,11517,-43.849998474121094
1744246092.5855842,11717,-44.34000015258789
1744246093.0079424,11872,-44.36000061035156
1744246093.5259848,12072,-44.36000061035156
1744246093.938635,12228,-43.90999984741211
1744246094.479112,12428,-44.88999938964844
1744246094.8946486,12579,-44.38999938964844
1744246095.4398167,12779,-44.38999938964844
1744246095.724577,12885,-43.91999816894531
1744246096.2668362,13085,-44.38999938964844
1744246096.798748,13285,-44.86000061035156
1744246097.3324442,13485,-44.86000061035156
1744246097.7539573,13646,-44.459999084472656
1744246098.1657584,13800,-44.4900016784668
1744246098.444052,13906,-43.529998779296875
1744246098.8474238,14058,-43.5099983215332
1744246099.2472901,14210,-43.02000045776367
1744246099.7720068,14410,-43.02000045776367
1744246100.172888,14564,-42.54999923706055
1744246100.7011504,14764,-42.54999923706055
1744246101.037736,14892,-42.2400016784668
1744246101.5619419,15092,-43.209999084472656
1744246101.9623373,15243,-42.709999084472656
1744246102.4938,15443,-42.709999084472656
1744246102.9035902,15599,-42.2599983215332
1744246103.4276648,15799,-42.65999984741211
1744246103.9596577,15999,-42.65999984741211
1744246104.243535,16105,-42.15999984741211
1744246104.7705946,16305,-42.15999984741211
1744246105.300484,16505,-42.61000061035156
1744246105.8251414,16705,-42.61000061035156
1744246106.2515852,16865,-42.70000076293945
1744246106.3801644,16914,-41.150001525878906
1744246106.9047863,17114,-42.11000061035156
1744246107.4357913,17314,-42.11000061035156
1744246107.7596867,17436,-41.310001373291016
1744246108.2869816,17636,-41.310001373291016
1744246108.8176074,17836,-41.709999084472656
1744246109.2346807,17991,-41.720001220703125
1744246109.657648,18153,-42.290000915527344
1744246109.8647954,18230,-41.52000045776367
1744246110.2711496,18383,-41.529998779296875
1744246110.569857,18496,-40.63999938964844
1744246110.972767,18647,-40.61000061035156
1744246111.4388576,18822,-40.349998474121094
1744246111.8500042,18976,-40.619998931884766
1744246112.0451992,19049,-39.31999969482422
1744246112.344212,19161,-38.91999816894531
1744246112.7026353,19294,-38.22999954223633
1744246113.127317,19452,-38.25
1744246113.555093,19609,-37.810001373291016
1744246114.0801651,19809,-37.810001373291016
1744246114.37651,19921,-37.869998931884766
1744246114.719494,20049,-37.130001068115234
1744246115.2526572,20249,-37.130001068115234
1744246115.7773933,20449,-37.130001068115234
1744246116.0693426,20553,-36.560001373291016
1744246116.3453448,20658,-37.13999938964844
1744246116.6225038,20763,-36.16999816894531
1744246116.8044686,20833,-34.84000015258789
1744246116.9946086,20905,-34.33000183105469
1744246117.2652116,21008,-33.34000015258789
1744246117.6925673,21170,-32.95000076293945
1744246118.0875294,21321,-32.90999984741211
1744246118.613189,21521,-33.29999923706055
1744246119.015484,21674,-34.08000183105469
1744246119.5433404,21874,-34.560001373291016
1744246119.6908898,21931,-33.9900016784668
1744246120.0929503,22083,-34.0
1744246120.4956324,22235,-33.77000045776367
1744246121.0193298,22435,-34.2400016784668
1744246121.5471165,22635,-35.540000915527344
1744246121.9582095,22788,-35.959999084472656
1744246122.3773367,22942,-36.18000030517578
1744246122.8103333,23094,-36.119998931884766
1744246123.3394358,23294,-36.560001373291016
1744246123.7612534,23447,-36.08000183105469
1744246123.9334557,23511,-35.59000015258789
1744246124.2372572,23625,-35.45000076293945
1744246124.763808,23825,-35.45000076293945
1744246124.9819858,23909,-34.2599983215332
1744246125.1664023,23978,-33.900001525878906
1744246125.514262,24109,-34.15999984741211
1744246125.7367637,24194,-33.95000076293945
1744246125.9007688,24256,-33.869998931884766
1744246126.2004085,24365,-34.2400016784668
1744246126.3784392,24429,-33.84000015258789
1744246126.6916592,24543,-33.349998474121094
1744246127.0127347,24661,-33.0099983215332
1744246127.5238762,24847,-32.86000061035156
1744246127.7553957,24930,-32.13999938964844
1744246128.0807314,25054,-31.360000610351562
1744246128.240758,25114,-31.389999389648438
1744246128.3218133,25144,-30.139999389648438
1744246128.41718,25180,-28.950000762939453
1744246128.476392,25202,-27.1299991607666
1744246128.7711203,25314,-26.229999542236328
1744246128.883633,25356,-25.09000015258789
1744246129.0591307,25422,-24.190000534057617
1744246129.1373818,25451,-22.93000030517578
1744246129.2163928,25480,-21.18000030517578
1744246129.3039825,25513,-19.950000762939453
1744246129.4596148,25572,-19.889999389648438
1744246129.6156495,25629,-19.309999465942383
1744246129.9482365,25751,-18.510000228881836
1744246130.1414,25824,-18.399999618530273
1744246130.223448,25854,-18.0
1744246130.4435112,25937,-17.510000228881836
