Wall time,Step,Value
1744246340.8749328,786,-49.0625
1744246341.3739953,938,-46.79999923706055
1744246344.989482,2090,-47.431819915771484
1744246346.888939,2698,-44.849998474121094
1744246347.2212477,2804,-43.671875
1744246347.8636866,3009,-39.355262756347656
1744246347.9244428,3028,-37.57500076293945
1744246348.0176358,3058,-36.095237731933594
1744246348.200526,3116,-33.5
1744246348.3989434,3179,-32.72916793823242
1744246348.5550737,3228,-27.940000534057617
1744246348.7766569,3293,-26.559999465942383
1744246349.1040623,3396,-16.329999923706055
1744246349.2245798,3433,-11.079999923706055
1744246349.448596,3504,-9.760000228881836
1744246349.5208187,3527,-8.430000305175781
1744246349.6443195,3565,-6.670000076293945
1744246350.1346023,3719,-5.059999942779541
1744246350.179862,3733,-4.559999942779541
1744246350.2304156,3749,-4.570000171661377
1744246350.331413,3781,-4.550000190734863
1744246350.4470022,3817,-4.03000020980835
1744246350.5619185,3853,-3.799999952316284
1744246350.7051392,3898,-3.809999942779541
1744246350.7319024,3906,-3.740000009536743
1744246350.7830422,3922,-3.180000066757202
1744246350.816081,3932,-3.049999952316284
1744246350.9058504,3960,-2.950000047683716
1744246350.9537797,3975,-2.940000057220459
1744246350.9955542,3988,-2.930000066757202
1744246351.0314145,3999,-2.490000009536743
1744246351.1182964,4026,-2.4200000762939453
1744246351.1726427,4043,-2.490000009536743
1744246351.4316669,4124,-2.319999933242798
1744246351.530538,4155,-2.380000114440918
1744246351.569747,4167,-2.4200000762939453
1744246351.6532512,4193,-2.4000000953674316
1744246351.7696817,4229,-2.309999942779541
1744246351.916086,4274,-2.2799999713897705
1744246351.9519079,4285,-2.25
1744246352.2929008,4390,-2.0799999237060547
1744246352.3345585,4403,-2.0799999237060547
1744246352.4634578,4443,-2.049999952316284
1744246352.5674322,4475,-1.9700000286102295
1744246352.6032023,4486,-1.9299999475479126
1744246352.6711576,4507,-1.909999966621399
1744246352.9401705,4590,-1.9500000476837158
1744246353.1277955,4648,-1.9700000286102295
1744246353.2916565,4699,-1.9600000381469727
1744246353.3337255,4712,-1.9900000095367432
1744246353.412077,4736,-1.9299999475479126
1744246353.4918594,4761,-1.9700000286102295
1744246353.53723,4775,-2.0
1744246353.7442045,4839,-2.0899999141693115
1744246353.788386,4852,-2.130000114440918
1744246354.0808213,4942,-2.180000066757202
1744246354.1488864,4963,-2.1500000953674316
1744246354.184676,4974,-2.130000114440918
1744246354.2910788,5007,-2.0799999237060547
1744246354.550783,5087,-2.009999990463257
1744246354.6264105,5109,-1.940000057220459
1744246354.6652305,5121,-1.9299999475479126
1744246354.7486095,5146,-1.940000057220459
1744246354.8170567,5167,-1.9199999570846558
1744246355.0320852,5234,-1.840000033378601
1744246355.0611143,5243,-1.7999999523162842
1744246355.09663,5254,-1.7999999523162842
1744246355.2146175,5291,-1.840000033378601
1744246355.2405596,5299,-1.7899999618530273
1744246355.2793362,5311,-1.7999999523162842
1744246355.3170216,5323,-1.7799999713897705
1744246355.4086423,5352,-1.8899999856948853
1744246355.4471993,5364,-1.8799999952316284
1744246355.5651321,5401,-1.9199999570846558
1744246355.602865,5413,-1.9199999570846558
1744246355.6382895,5424,-1.8899999856948853
1744246355.7915835,5471,-1.9199999570846558
1744246355.8315015,5483,-1.940000057220459
1744246355.864031,5493,-1.940000057220459
1744246355.9756277,5528,-1.940000057220459
1744246356.1377454,5579,-2.0
1744246356.1730988,5590,-1.9900000095367432
1744246356.2467449,5613,-2.0199999809265137
1744246356.2847588,5625,-2.0199999809265137
1744246356.3170874,5635,-1.9600000381469727
1744246356.352021,5646,-1.940000057220459
1744246356.4130752,5665,-1.8899999856948853
1744246356.4833064,5687,-1.8600000143051147
1744246356.5411582,5705,-1.809999942779541
1744246356.6080596,5726,-1.7899999618530273
1744246356.6847003,5750,-1.7899999618530273
1744246356.7288344,5764,-1.809999942779541
1744246356.8402343,5799,-1.850000023841858
1744246356.8784976,5811,-1.8300000429153442
1744246356.9165983,5823,-1.840000033378601
1744246356.9459,5832,-1.809999942779541
1744246357.022194,5856,-1.7699999809265137
1744246357.0631216,5869,-1.7899999618530273
1744246357.21249,5916,-1.809999942779541
1744246357.4774308,6000,-2.049999952316284
1744246357.5566115,6025,-2.0899999141693115
1744246357.595232,6036,-2.0999999046325684
1744246357.6341133,6048,-2.109999895095825
1744246357.7107618,6070,-2.059999942779541
1744246357.7565675,6084,-2.059999942779541
1744246357.8427129,6111,-2.119999885559082
1744246357.8782337,6122,-2.109999895095825
