Wall time,Step,Value
1744246217.3138964,200,-50.0
1744246218.126152,400,-50.0
1744246218.936437,600,-50.0
1744246219.355905,705,-43.9375
1744246220.117095,895,-44.599998474121094
1744246220.773292,1057,-43.875
1744246221.3972027,1212,-43.10714340209961
1744246222.006399,1364,-42.4375
1744246222.6102264,1515,-41.88888931274414
1744246223.4177961,1715,-42.70000076293945
1744246224.2184973,1915,-43.3636360168457
1744246224.7334332,2044,-42.39583206176758
1744246225.5391788,2244,-42.980770111083984
1744246226.340249,2444,-43.48214340209961
1744246226.992488,2605,-43.25
1744246227.795426,2805,-43.671875
1744246228.6029954,3005,-44.04411697387695
1744246229.4113884,3205,-44.375
1744246230.2133315,3405,-44.671051025390625
1744246231.0248313,3605,-44.9375
1744246231.665782,3765,-44.69047546386719
1744246232.3624313,3939,-44.625
1744246232.9898942,4094,-44.35869598388672
1744246233.7933404,4294,-44.59375
1744246234.602061,4494,-44.810001373291016
1744246235.4100907,4694,-44.810001373291016
1744246236.0590608,4856,-44.41999816894531
1744246236.4668596,4957,-43.400001525878906
1744246237.0968544,5112,-43.88999938964844
1744246237.7750757,5279,-43.65999984741211
1744246238.582536,5479,-44.04999923706055
1744246239.391721,5679,-44.5099983215332
1744246240.0191746,5834,-44.540000915527344
1744246240.6484277,5990,-44.59000015258789
1744246241.4530902,6190,-44.59000015258789
1744246242.065485,6341,-44.09000015258789
1744246242.8258724,6529,-44.689998626708984
1744246243.6315558,6729,-44.689998626708984
1744246244.4373713,6929,-44.689998626708984
1744246245.2458863,7129,-45.09000015258789
1744246245.7142267,7246,-44.2400016784668
1744246246.519447,7446,-44.2400016784668
1744246247.1865888,7611,-43.880001068115234
1744246247.9901793,7811,-43.880001068115234
1744246248.4159994,7917,-42.90999984741211
1744246249.0186477,8068,-42.81999969482422
1744246249.6083126,8216,-42.540000915527344
1744246250.0393906,8324,-42.04999923706055
1744246250.7368731,8491,-41.709999084472656
1744246251.45424,8665,-41.439998626708984
1744246252.1063375,8823,-41.0099983215332
1744246252.9028625,9023,-41.400001525878906
1744246253.7013197,9223,-42.41999816894531
1744246254.500567,9423,-42.900001525878906
1744246255.1305027,9580,-42.79999923706055
1744246255.732941,9731,-42.29999923706055
1744246256.3229303,9879,-41.7599983215332
1744246256.9850793,10044,-41.86000061035156
1744246257.5495832,10184,-41.689998626708984
1744246258.1245124,10327,-41.099998474121094
1744246258.498585,10420,-40.5
1744246259.2734349,10613,-40.54999923706055
1744246260.0643759,10810,-40.5099983215332
1744246260.6938813,10964,-40.040000915527344
1744246261.4987454,11164,-40.040000915527344
1744246262.139058,11322,-40.459999084472656
1744246262.7566845,11474,-39.970001220703125
1744246263.2663965,11600,-39.56999969482422
1744246263.7364829,11717,-38.720001220703125
1744246264.405088,11884,-39.349998474121094
1744246265.0234063,12038,-39.380001068115234
1744246265.4710855,12149,-39.02000045776367
1744246265.638061,12190,-38.34000015258789
1744246266.2860034,12352,-38.279998779296875
1744246266.8487132,12492,-37.93000030517578
1744246266.9716623,12522,-36.619998931884766
1744246267.4827623,12650,-35.869998931884766
1744246267.923168,12759,-34.93000030517578
1744246268.6986182,12953,-34.86000061035156
1744246269.2989926,13103,-34.779998779296875
1744246269.8294635,13236,-34.59000015258789
1744246270.1325,13312,-33.86000061035156
1744246270.388805,13376,-32.81999969482422
1744246270.542945,13414,-31.780000686645508
1744246271.0367491,13537,-31.579999923706055
1744246271.3060918,13604,-31.309999465942383
1744246271.6675372,13695,-30.270000457763672
1744246272.0974743,13802,-29.350000381469727
1744246272.4185236,13882,-28.59000015258789
1744246272.6706626,13945,-27.18000030517578
1744246272.8278718,13984,-25.959999084472656
1744246273.1794996,14072,-25.299999237060547
1744246273.535432,14161,-24.920000076293945
1744246273.8629196,14243,-24.559999465942383
1744246274.2398639,14337,-23.799999237060547
1744246274.3778841,14371,-22.56999969482422
1744246274.5745888,14420,-21.93000030517578
1744246275.0330522,14533,-22.670000076293945
1744246275.2695837,14590,-21.600000381469727
1744246275.5872009,14667,-20.950000762939453
1744246275.861575,14735,-21.34000015258789
1744246275.9906523,14767,-20.3700008392334
1744246276.3485878,14856,-20.170000076293945
1744246276.5329626,14905,-18.690000534057617
1744246276.8402555,14987,-18.0
1744246276.9564862,15017,-16.950000762939453
1744246277.043406,15039,-16.399999618530273
1744246277.2352612,15088,-16.25
1744246277.6908045,15205,-17.059999465942383
1744246277.976301,15279,-16.559999465942383
1744246278.2392898,15349,-16.600000381469727
1744246278.9931602,15549,-17.719999313354492
1744246279.0649316,15567,-16.81999969482422
1744246279.7415037,15746,-17.81999969482422
1744246279.8840332,15784,-17.56999969482422
1744246280.2856553,15892,-18.270000457763672
1744246280.401688,15922,-17.68000030517578
1744246280.68594,15998,-17.540000915527344
1744246281.0652065,16100,-17.75
1744246281.4650166,16208,-17.90999984741211
1744246281.9015868,16324,-18.75
1744246282.0191393,16354,-18.559999465942383
1744246282.3649616,16446,-18.34000015258789
1744246282.9332917,16600,-19.34000015258789
1744246283.3846445,16721,-19.799999237060547
1744246283.7203004,16810,-20.010000228881836
1744246284.190199,16937,-20.979999542236328
1744246284.7768662,17089,-21.6299991607666
1744246285.035742,17155,-21.809999465942383
1744246285.6595047,17314,-22.600000381469727
1744246285.8138726,17353,-22.690000534057617
1744246285.904488,17376,-22.700000762939453
1744246285.9802656,17395,-22.399999618530273
1744246286.4594882,17514,-22.420000076293945
1744246286.8600533,17616,-22.700000762939453
1744246287.1291776,17684,-22.670000076293945
1744246287.3848026,17749,-21.290000915527344
1744246287.647273,17816,-21.790000915527344
