Wall time,Step,Value
1744246530.934144,147,-36.25
1744246532.743278,547,-45.41666793823242
1744246533.6526616,747,-46.5625
1744246534.5554714,947,-47.25
1744246539.784353,2103,-47.727272033691406
1744246540.5835037,2279,-47.39583206176758
1744246542.598548,2724,-45.266666412353516
1744246543.3169396,2882,-44.890625
1744246545.8480074,3438,-45.105262756347656
1744246546.7654924,3638,-45.349998474121094
1744246547.6715798,3838,-45.57143020629883
1744246549.4900665,4238,-45.956520080566406
1744246550.2087414,4396,-45.67708206176758
1744246552.6834192,4941,-45.83000183105469
1744246553.5968995,5141,-45.83000183105469
1744246555.1956706,5493,-45.34000015258789
1744246557.11852,5920,-41.970001220703125
1744246557.2109988,5940,-40.130001068115234
1744246558.2199755,6164,-38.58000183105469
1744246558.5365124,6233,-37.599998474121094
1744246558.960099,6327,-37.31999969482422
1744246559.0607955,6349,-35.91999816894531
1744246559.939018,6544,-36.290000915527344
1744246561.8557367,6967,-26.719999313354492
1744246561.907675,6978,-25.219999313354492
1744246562.021166,7003,-23.43000030517578
1744246562.5098717,7110,-21.0
1744246562.6104317,7132,-19.18000030517578
1744246563.3151906,7287,-17.15999984741211
1744246563.8266692,7400,-17.239999771118164
1744246564.165118,7474,-15.920000076293945
1744246565.532011,7776,-15.989999771118164
1744246566.0168924,7883,-16.399999618530273
1744246566.293654,7944,-16.31999969482422
1744246566.903127,8079,-16.739999771118164
1744246567.5356586,8219,-15.960000038146973
1744246567.5914662,8231,-15.819999694824219
1744246567.7956495,8276,-15.890000343322754
1744246568.1006742,8343,-15.300000190734863
1744246569.00756,8544,-16.450000762939453
1744246569.4898896,8651,-16.540000915527344
1744246570.6473827,8906,-16.989999771118164
1744246570.9329822,8968,-16.040000915527344
1744246570.9844692,8979,-15.0
1744246571.1518013,9015,-14.609999656677246
1744246571.2706983,9040,-14.109999656677246
1744246571.4819582,9086,-12.25
1744246571.5609632,9103,-11.329999923706055
1744246572.0505624,9210,-9.8100004196167
1744246572.1427395,9230,-9.199999809265137
1744246572.7034156,9351,-7.119999885559082
1744246573.0623007,9427,-5.46999979019165
1744246573.205724,9458,-5.070000171661377
1744246573.4235277,9505,-4.550000190734863
1744246573.6422548,9551,-4.46999979019165
1744246573.7031243,9564,-4.5
1744246573.8601134,9597,-4.420000076293945
1744246573.9262335,9611,-4.260000228881836
1744246574.207116,9670,-3.5999999046325684
1744246574.3684943,9705,-3.630000114440918
1744246574.735897,9783,-3.069999933242798
1744246575.0117986,9841,-2.8299999237060547
1744246575.0930088,9858,-2.890000104904175
1744246575.2376032,9888,-2.8299999237060547
1744246575.3525262,9912,-2.7699999809265137
1744246575.4086502,9924,-2.7300000190734863
1744246575.464518,9936,-2.7200000286102295
1744246575.5940871,9964,-2.6700000762939453
1744246575.7340293,9994,-2.75
1744246575.8040118,10009,-2.630000114440918
1744246576.1731622,10088,-2.559999942779541
1744246576.2244484,10099,-2.5299999713897705
1744246576.4001508,10137,-2.5399999618530273
1744246576.4553814,10148,-2.5
1744246576.6762903,10195,-2.5399999618530273
1744246577.109149,10287,-2.509999990463257
1744246577.2552066,10318,-2.5399999618530273
1744246577.3076587,10329,-2.5
1744246577.4562829,10361,-2.5199999809265137
1744246577.572775,10386,-2.5
1744246577.6905463,10411,-2.509999990463257
1744246577.9103336,10458,-2.380000114440918
1744246577.9662752,10470,-2.3299999237060547
1744246578.022882,10482,-2.3399999141693115
1744246578.184109,10516,-2.2100000381469727
1744246578.2488654,10530,-2.1700000762939453
1744246578.3060858,10542,-2.190000057220459
1744246578.3575125,10553,-2.200000047683716
1744246578.4758906,10578,-2.1700000762939453
1744246578.5384948,10591,-2.130000114440918
1744246578.7397802,10633,-2.1500000953674316
1744246578.7971845,10646,-2.1700000762939453
1744246578.8677506,10662,-2.1500000953674316
1744246579.042895,10700,-2.140000104904175
1744246579.1378639,10721,-2.240000009536743
1744246579.197892,10734,-2.2300000190734863
1744246579.2583244,10747,-2.240000009536743
1744246579.4239862,10784,-2.259999990463257
1744246579.5809886,10820,-2.25
1744246579.6374493,10833,-2.2899999618530273
1744246579.6944032,10846,-2.299999952316284
1744246579.8389196,10879,-2.369999885559082
1744246579.8874204,10890,-2.369999885559082
1744246579.9277978,10899,-2.319999933242798
1744246579.990366,10913,-2.3499999046325684
1744246580.1182606,10941,-2.3299999237060547
1744246580.2150505,10962,-2.2899999618530273
1744246580.3283014,10986,-2.240000009536743
1744246580.4236643,11006,-2.190000057220459
1744246580.5380843,11029,-2.0799999237060547
1744246580.5823839,11038,-2.0399999618530273
1744246580.6715527,11056,-1.940000057220459
1744246580.7395513,11070,-1.9700000286102295
1744246580.7740154,11077,-1.9299999475479126
1744246580.8378718,11089,-1.909999966621399
1744246580.896398,11101,-1.8899999856948853
1744246580.998381,11122,-1.8899999856948853
1744246581.0512035,11133,-1.8700000047683716
1744246581.289515,11184,-1.850000023841858
1744246581.4316382,11214,-1.7300000190734863
1744246581.5969253,11249,-1.7300000190734863
1744246581.7138,11274,-1.7699999809265137
1744246581.765278,11285,-1.7899999618530273
1744246581.808146,11294,-1.7400000095367432
1744246581.9124951,11316,-1.7799999713897705
1744246581.9731019,11329,-1.8200000524520874
1744246582.08427,11353,-1.8300000429153442
1744246582.1487763,11367,-1.899999976158142
1744246582.2190154,11382,-1.9299999475479126
1744246582.2662625,11392,-1.909999966621399
1744246582.569197,11457,-1.9800000190734863
1744246582.6302686,11470,-2.0
1744246582.6826031,11481,-1.9700000286102295
1744246582.860377,11519,-2.049999952316284
1744246582.9360802,11535,-2.0899999141693115
1744246582.997145,11547,-2.109999895095825
1744246583.0547738,11559,-2.0999999046325684
1744246583.1576195,11580,-2.059999942779541
1744246583.6590717,11683,-2.1600000858306885
1744246583.7273393,11697,-2.1500000953674316
1744246583.884615,11730,-2.119999885559082
1744246583.9457228,11743,-2.130000114440918
1744246583.9976523,11754,-2.109999895095825
1744246584.12206,11780,-2.0999999046325684
1744246584.2395105,11805,-2.119999885559082
1744246584.3499126,11828,-2.0899999141693115
1744246584.3864167,11835,-2.0
1744246584.4817467,11855,-1.9600000381469727
1744246584.5939612,11879,-1.9900000095367432
1744246584.6311307,11887,-1.9800000190734863
1744246584.746735,11913,-1.9500000476837158
1744246585.023959,11975,-1.9199999570846558
1744246585.072992,11985,-1.8799999952316284
1744246585.1344616,11999,-1.8899999856948853
1744246585.192867,12012,-1.909999966621399
1744246585.25987,12027,-1.9700000286102295
1744246585.5434957,12091,-1.9800000190734863
1744246585.653642,12116,-2.0
1744246585.7199347,12131,-2.0299999713897705
1744246585.7722878,12143,-2.0799999237060547
1744246585.8174236,12153,-2.0899999141693115
1744246585.9759455,12188,-2.0899999141693115
1744246586.0183356,12197,-2.0999999046325684
1744246586.176151,12231,-2.0399999618530273
1744246586.288866,12255,-2.0199999809265137
1744246586.3460124,12268,-2.0399999618530273
1744246586.4843483,12299,-2.0
1744246586.5633383,12316,-1.8899999856948853
1744246586.809678,12370,-1.7899999618530273
1744246586.8723333,12384,-1.7999999523162842
1744246586.9218996,12395,-1.7899999618530273
1744246586.95881,12403,-1.7200000286102295
1744246587.0145173,12415,-1.7200000286102295
1744246587.2159452,12458,-1.7000000476837158
1744246587.283989,12473,-1.7599999904632568
1744246587.3712766,12492,-1.7100000381469727
1744246587.5281317,12527,-1.7200000286102295
1744246587.5867023,12540,-1.7200000286102295
1744246587.64049,12552,-1.7599999904632568
1744246587.6914392,12563,-1.7599999904632568
1744246587.7897577,12585,-1.7799999713897705
1744246587.9046228,12610,-1.809999942779541
1744246588.0338852,12638,-1.909999966621399
1744246588.0891216,12650,-1.9199999570846558
1744246588.1535406,12664,-1.940000057220459
1744246588.2137969,12677,-1.9299999475479126
1744246588.3931975,12717,-2.0199999809265137
1744246588.5047,12742,-2.059999942779541
1744246588.619717,12768,-2.0999999046325684
1744246588.6570435,12776,-2.0299999713897705
1744246588.7154539,12789,-2.069999933242798
1744246588.7704806,12801,-2.0899999141693115
1744246588.8291245,12814,-2.109999895095825
1744246588.898542,12829,-2.140000104904175
1744246588.9629865,12843,-2.1600000858306885
1744246589.2780848,12911,-2.140000104904175
1744246589.4317544,12944,-2.059999942779541
1744246589.4856389,12955,-2.049999952316284
1744246589.7051587,13002,-1.9600000381469727
1744246589.8703187,13038,-1.9600000381469727
1744246589.939167,13053,-1.9800000190734863
1744246590.103263,13089,-2.0
1744246590.1525576,13100,-1.9900000095367432
1744246590.205525,13112,-1.9800000190734863
1744246590.2541878,13123,-1.940000057220459
1744246590.3049278,13134,-1.909999966621399
1744246590.3549426,13145,-1.909999966621399
1744246590.4010875,13155,-1.909999966621399
1744246590.4540558,13167,-1.899999976158142
1744246590.5065835,13179,-1.899999976158142
1744246590.5595384,13191,-1.9199999570846558
1744246590.6165745,13204,-1.9299999475479126
1744246590.7264528,13229,-1.9600000381469727
1744246590.7673378,13238,-1.940000057220459
1744246590.8798018,13264,-1.9600000381469727
1744246590.9751096,13285,-1.9500000476837158
1744246591.0718093,13306,-1.9199999570846558
1744246591.1182353,13316,-1.8899999856948853
1744246591.279946,13351,-1.8600000143051147
1744246591.3304653,13362,-1.850000023841858
1744246591.3849459,13374,-1.850000023841858
1744246591.4265344,13383,-1.8300000429153442
1744246591.5793173,13416,-1.8200000524520874
1744246591.7223825,13447,-1.7999999523162842
1744246591.7772903,13459,-1.7999999523162842
1744246591.9373407,13494,-1.7699999809265137
1744246591.9793634,13503,-1.7400000095367432
1744246592.1926043,13549,-1.75
1744246592.2393506,13559,-1.7400000095367432
1744246592.4053814,13596,-1.7999999523162842
1744246592.4579282,13608,-1.7999999523162842
1744246592.517528,13622,-1.8300000429153442
1744246592.5737467,13635,-1.840000033378601
1744246592.6279385,13647,-1.850000023841858
1744246592.6774752,13658,-1.840000033378601
1744246592.7257478,13669,-1.8600000143051147
1744246592.76608,13678,-1.8300000429153442
1744246592.85501,13698,-1.8200000524520874
1744246592.908693,13710,-1.850000023841858
1744246592.974135,13725,-1.8600000143051147
1744246593.035067,13739,-1.9199999570846558
1744246593.260306,13789,-1.9500000476837158
1744246593.3108492,13800,-1.9700000286102295
1744246593.3699646,13813,-1.9900000095367432
1744246593.4112675,13822,-1.9700000286102295
1744246593.4652874,13834,-1.9900000095367432
1744246593.552696,13853,-1.940000057220459
1744246593.6456034,13873,-1.899999976158142
1744246593.7441888,13894,-1.8600000143051147
1744246593.8124921,13909,-1.8700000047683716
1744246593.8679395,13921,-1.8600000143051147
1744246593.9902847,13947,-1.8899999856948853
1744246594.0287926,13955,-1.8600000143051147
1744246594.0832124,13967,-1.8899999856948853
1744246594.207181,13996,-1.9800000190734863
1744246594.3133917,14020,-1.9500000476837158
1744246594.5688684,14076,-1.9900000095367432
1744246594.6219752,14087,-1.9800000190734863
1744246594.778128,14120,-1.9800000190734863
1744246594.825,14130,-1.9600000381469727
1744246594.8916368,14144,-2.0
1744246594.9483676,14156,-2.0299999713897705
1744246595.001706,14167,-2.059999942779541
1744246595.053853,14178,-2.049999952316284
1744246595.0878658,14185,-2.0
1744246595.2100103,14211,-2.0199999809265137
1744246595.2701445,14224,-2.0299999713897705
1744246595.3286228,14237,-2.0399999618530273
1744246595.363629,14245,-1.9800000190734863
1744246595.4558523,14266,-1.9900000095367432
1744246595.611196,14300,-1.909999966621399
1744246595.6753442,14313,-1.9299999475479126
1744246595.8384733,14346,-1.8300000429153442
1744246595.9865057,14377,-1.8300000429153442
1744246596.0469368,14389,-1.850000023841858
1744246596.101282,14400,-1.7999999523162842
1744246596.26975,14435,-1.7899999618530273
1744246596.3907669,14461,-1.8300000429153442
1744246596.4460592,14473,-1.8799999952316284
1744246596.5157688,14488,-1.909999966621399
1744246596.560791,14498,-1.8700000047683716
1744246596.592821,14505,-1.809999942779541
1744246596.648832,14518,-1.809999942779541
1744246596.7083457,14531,-1.8600000143051147
1744246596.8846843,14570,-1.9199999570846558
1744246596.9409578,14582,-1.909999966621399
1744246596.9871874,14592,-1.9199999570846558
1744246597.0292058,14601,-1.8799999952316284
1744246597.2001348,14638,-1.9199999570846558
1744246597.5714288,14718,-1.9299999475479126
1744246597.7323556,14752,-1.909999966621399
1744246597.783566,14763,-1.899999976158142
1744246597.8915668,14786,-1.8799999952316284
1744246597.9441013,14797,-1.9199999570846558
1744246597.9786375,14804,-1.8600000143051147
1744246598.044097,14818,-1.8700000047683716
1744246598.0942204,14828,-1.840000033378601
1744246598.1926522,14850,-1.7999999523162842
1744246598.241477,14861,-1.7899999618530273
1744246598.3058608,14876,-1.840000033378601
1744246598.402938,14898,-1.840000033378601
1744246598.4596353,14911,-1.840000033378601
1744246598.5949063,14940,-1.7899999618530273
1744246598.6978195,14962,-1.7699999809265137
1744246598.8001354,14984,-1.7599999904632568
1744246598.854821,14996,-1.7799999713897705
1744246598.91055,15008,-1.7899999618530273
1744246599.2304409,15077,-1.7999999523162842
1744246599.286003,15089,-1.850000023841858
1744246599.3561473,15104,-1.8600000143051147
1744246599.5582922,15148,-1.8700000047683716
1744246599.608878,15159,-1.8300000429153442
1744246599.7027354,15179,-1.809999942779541
1744246599.8128092,15203,-1.8300000429153442
1744246599.9837632,15240,-1.8799999952316284
1744246600.2013903,15288,-1.9199999570846558
1744246600.4089313,15334,-1.899999976158142
1744246600.4593728,15345,-1.899999976158142
1744246600.50229,15354,-1.909999966621399
1744246600.5805542,15371,-1.8200000524520874
1744246600.6483827,15386,-1.8200000524520874
1744246600.7036693,15398,-1.809999942779541
1744246600.7409434,15406,-1.7799999713897705
1744246600.786917,15416,-1.809999942779541
1744246600.8874676,15438,-1.7899999618530273
1744246601.0070438,15464,-1.850000023841858
1744246601.0699344,15478,-1.8700000047683716
1744246601.1122775,15487,-1.840000033378601
1744246601.1563983,15497,-1.7999999523162842
1744246601.2500238,15518,-1.7799999713897705
1744246601.3113658,15532,-1.7899999618530273
1744246601.3595855,15543,-1.7899999618530273
1744246601.465072,15567,-1.7899999618530273
1744246601.6289241,15604,-1.7899999618530273
1744246601.7239418,15625,-1.7999999523162842
1744246601.86713,15656,-1.850000023841858
1744246601.9130676,15666,-1.7999999523162842
1744246602.0403264,15694,-1.8799999952316284
1744246602.142794,15716,-1.8700000047683716
1744246602.2491276,15739,-1.8700000047683716
1744246602.3458517,15760,-1.8200000524520874
1744246602.3932896,15770,-1.8300000429153442
1744246602.546169,15803,-1.850000023841858
1744246602.5883634,15812,-1.7999999523162842
1744246602.652188,15826,-1.8300000429153442
1744246602.7165399,15840,-1.8700000047683716
1744246602.9246414,15885,-1.809999942779541
1744246603.030776,15908,-1.8300000429153442
1744246603.1538768,15935,-1.909999966621399
1744246603.3001149,15966,-1.8600000143051147
1744246603.3506846,15977,-1.8300000429153442
1744246603.40606,15989,-1.840000033378601
1744246603.4571726,16000,-1.840000033378601
1744246603.526218,16015,-1.8700000047683716
1744246603.5772948,16026,-1.8700000047683716
1744246603.7773135,16069,-1.8700000047683716
1744246603.918232,16100,-1.9700000286102295
1744246603.969614,16111,-1.9900000095367432
1744246604.0158744,16121,-1.9500000476837158
1744246604.06222,16131,-1.909999966621399
1744246604.1147943,16142,-1.9299999475479126
1744246604.2915475,16180,-1.9500000476837158
1744246604.3463686,16192,-1.9700000286102295
1744246604.4142933,16207,-1.9900000095367432
1744246604.7995825,16290,-2.009999990463257
1744246604.962359,16325,-1.9900000095367432
1744246605.2413309,16385,-2.009999990463257
1744246605.3057928,16399,-1.9900000095367432
1744246605.3561459,16410,-1.9900000095367432
1744246605.5208354,16446,-2.0399999618530273
1744246605.614094,16466,-2.0
1744246605.669133,16478,-1.9800000190734863
1744246605.7249641,16490,-1.9800000190734863
1744246605.9029052,16529,-1.9800000190734863
1744246606.1475017,16582,-1.9199999570846558
1744246606.207451,16595,-1.9199999570846558
1744246606.2753983,16610,-1.9800000190734863
1744246606.321312,16620,-1.9500000476837158
1744246606.3675947,16630,-1.9199999570846558
1744246606.400477,16637,-1.8899999856948853
1744246606.4882627,16656,-1.809999942779541
1744246606.64841,16691,-1.809999942779541
1744246606.7129533,16704,-1.8200000524520874
1744246606.8148348,16726,-1.7999999523162842
1744246607.0272985,16772,-1.8200000524520874
1744246607.0872822,16785,-1.850000023841858
1744246607.185723,16806,-1.7699999809265137
1744246607.3588536,16844,-1.840000033378601
1744246607.477452,16870,-1.8799999952316284
1744246607.6060863,16898,-1.8799999952316284
1744246607.6480515,16907,-1.8700000047683716
1744246607.704493,16919,-1.8899999856948853
1744246607.8013628,16940,-1.9299999475479126
1744246607.8941512,16960,-1.940000057220459
1744246607.9369154,16969,-1.899999976158142
1744246607.992536,16981,-1.899999976158142
1744246608.0526087,16994,-1.899999976158142
1744246608.1101608,17007,-1.9299999475479126
1744246608.2131822,17029,-1.8899999856948853
1744246608.2817564,17044,-1.9299999475479126
1744246608.3338377,17055,-1.940000057220459
1744246608.6017945,17113,-1.9600000381469727
1744246608.6568162,17125,-1.9700000286102295
1744246608.717449,17138,-1.940000057220459
1744246608.856209,17168,-1.9800000190734863
1744246608.9071856,17179,-1.9600000381469727
1744246608.957982,17190,-1.9199999570846558
1744246609.031618,17206,-1.9900000095367432
1744246609.4330187,17293,-2.119999885559082
1744246609.566854,17323,-2.069999933242798
1744246609.6113436,17333,-2.0399999618530273
1744246609.6935844,17351,-1.9600000381469727
1744246609.9315686,17404,-1.909999966621399
1744246609.9713104,17413,-1.8799999952316284
1744246610.0326855,17427,-1.8899999856948853
1744246610.1105485,17444,-1.7599999904632568
1744246610.1629605,17456,-1.7699999809265137
1744246610.2165146,17468,-1.7799999713897705
1744246610.3067873,17488,-1.7100000381469727
1744246610.355464,17499,-1.690000057220459
1744246610.4078152,17511,-1.7100000381469727
1744246610.5100117,17534,-1.690000057220459
1744246610.5505464,17543,-1.649999976158142
1744246610.640322,17563,-1.590000033378601
1744246610.6902347,17574,-1.6200000047683716
1744246610.752684,17588,-1.649999976158142
1744246610.8055491,17600,-1.6699999570846558
1744246610.863904,17613,-1.6799999475479126
1744246610.917875,17625,-1.7400000095367432
1744246611.0568738,17655,-1.7599999904632568
1744246611.1557014,17676,-1.7200000286102295
1744246611.198927,17685,-1.7200000286102295
1744246611.3194554,17711,-1.75
1744246611.4302287,17735,-1.7899999618530273
1744246611.5441442,17760,-1.8300000429153442
1744246611.6000047,17772,-1.840000033378601
1744246611.766545,17808,-1.850000023841858
1744246611.8221347,17820,-1.8600000143051147
1744246612.0307975,17864,-1.899999976158142
1744246612.078225,17874,-1.8600000143051147
1744246612.1329324,17886,-1.8600000143051147
1744246612.1883566,17898,-1.850000023841858
1744246612.3502824,17933,-1.8600000143051147
1744246612.5075963,17967,-1.909999966621399
1744246612.7464871,18018,-1.8300000429153442
1744246612.801922,18030,-1.8200000524520874
1744246612.9032915,18052,-1.7999999523162842
1744246612.9654133,18065,-1.8200000524520874
1744246613.0261993,18078,-1.809999942779541
1744246613.1584377,18106,-1.8600000143051147
1744246613.2167926,18118,-1.8600000143051147
1744246613.2720332,18130,-1.8600000143051147
1744246613.330907,18143,-1.8899999856948853
1744246613.5562494,18191,-1.9299999475479126
1744246613.6025753,18201,-1.899999976158142
1744246613.7192976,18226,-1.9299999475479126
1744246613.7778819,18239,-1.9600000381469727
1744246613.8404167,18253,-1.9700000286102295
1744246613.9482017,18277,-2.0
1744246614.0024931,18289,-2.0199999809265137
1744246614.1045756,18311,-2.0299999713897705
1744246614.145607,18320,-2.0199999809265137
1744246614.2624598,18346,-2.0399999618530273
1744246614.5154514,18402,-1.9600000381469727
1744246614.5787287,18416,-1.9800000190734863
1744246614.7413065,18452,-1.940000057220459
1744246614.9058406,18488,-1.9700000286102295
1744246615.0781407,18526,-2.0
1744246615.1375415,18539,-2.0
1744246615.1765175,18547,-1.940000057220459
1744246615.3568568,18586,-1.9700000286102295
1744246615.4064004,18597,-1.9700000286102295
1744246615.606065,18641,-1.9500000476837158
1744246615.6758626,18656,-1.9800000190734863
1744246616.1953692,18769,-1.8899999856948853
1744246616.3018656,18791,-1.8799999952316284
