Wall time,Step,Value
1744246755.1055324,162,-40.25
1744246756.5496762,513,-42.58333206176758
1744246757.2789407,691,-43.0
1744246757.8804784,838,-41.650001525878906
1744246762.627152,1981,-44.8636360168457
1744246763.4714546,2181,-45.29166793823242
1744246766.0033956,2781,-46.233333587646484
1744246766.665998,2938,-45.78125
1744246767.491082,3138,-46.02941131591797
1744246768.8250587,3458,-45.3684196472168
1744246769.654481,3658,-45.599998474121094
1744246770.4853427,3858,-45.80952453613281
1744246771.972503,4211,-45.65217208862305
1744246772.8270402,4411,-45.83333206176758
1744246774.759192,4877,-45.52000045776367
1744246775.297765,5007,-44.79999923706055
1744246776.9493997,5407,-45.58000183105469
1744246777.3828914,5512,-44.70000076293945
1744246779.186882,5950,-43.540000915527344
1744246779.8272617,6104,-43.06999969482422
1744246780.7616115,6332,-41.29999923706055
1744246781.2246978,6444,-40.400001525878906
1744246781.8623471,6600,-39.95000076293945
1744246782.529305,6764,-39.58000183105469
1744246783.1174722,6906,-39.41999816894531
1744246784.73012,7296,-30.3799991607666
1744246784.9722612,7355,-28.940000534057617
1744246785.1935334,7409,-27.90999984741211
1744246785.2643054,7426,-26.040000915527344
1744246785.3489516,7446,-25.100000381469727
1744246785.6431742,7518,-24.510000228881836
1744246786.2183824,7657,-21.84000015258789
1744246786.564487,7741,-21.6200008392334
1744246787.0954087,7870,-20.5
1744246787.572701,7986,-16.940000534057617
1744246787.7942023,8040,-16.290000915527344
1744246787.8667028,8057,-15.319999694824219
1744246787.9378037,8074,-13.899999618530273
1744246788.2690947,8154,-11.600000381469727
1744246788.3407164,8171,-11.600000381469727
1744246788.4123745,8188,-11.40999984741211
1744246788.5002396,8209,-10.270000457763672
1744246788.6095517,8235,-9.1899995803833
1744246788.8579938,8295,-9.369999885559082
1744246789.3984356,8426,-9.800000190734863
1744246789.7141461,8502,-9.859999656677246
1744246789.8893695,8544,-9.350000381469727
1744246790.288123,8640,-8.90999984741211
1744246790.3562,8656,-8.220000267028809
1744246790.7698488,8756,-7.929999828338623
1744246790.842079,8773,-7.869999885559082
1744246790.9407916,8796,-7.159999847412109
1744246791.0574274,8824,-6.900000095367432
1744246791.3100975,8883,-6.539999961853027
1744246791.4067109,8905,-6.559999942779541
1744246791.751624,8985,-6.550000190734863
1744246792.4402385,9145,-5.650000095367432
1744246792.6987062,9206,-6.090000152587891
1744246792.9349563,9261,-5.590000152587891
1744246793.2069721,9326,-5.039999961853027
1744246793.4045382,9374,-5.210000038146973
1744246793.5349195,9405,-5.230000019073486
1744246793.7847736,9466,-5.739999771118164
1744246794.0574558,9532,-6.130000114440918
