Wall time,Step,Value
1744246141.7817733,195,-48.5
1744246142.279869,395,-49.25
1744246142.7795436,595,-49.5
1744246143.2877827,795,-49.625
1744246143.8231995,995,-49.70000076293945
1744246144.2398703,1147,-47.70833206176758
1744246144.7516243,1347,-48.03571319580078
1744246145.2394068,1547,-48.28125
1744246145.7246168,1747,-48.47222137451172
1744246146.2168453,1947,-48.625
1744246146.701714,2147,-48.75
1744246146.9672632,2256,-46.91666793823242
1744246147.4433026,2456,-47.153846740722656
1744246147.935031,2656,-47.35714340209961
1744246148.1885674,2759,-45.88333511352539
1744246148.698353,2959,-46.140625
1744246149.2198293,3159,-46.367645263671875
1744246149.7178938,3359,-46.56944274902344
1744246150.221182,3559,-46.75
1744246150.72836,3759,-46.912498474121094
1744246151.2173843,3959,-47.05952453613281
1744246151.7089927,4159,-47.193180084228516
1744246152.1374514,4329,-46.9782600402832
1744246152.6317117,4529,-47.10416793823242
1744246153.125288,4729,-47.220001220703125
1744246153.6127217,4929,-47.279998779296875
1744246154.1017687,5129,-47.279998779296875
1744246154.5945685,5329,-47.279998779296875
1744246154.9731166,5480,-46.779998779296875
1744246155.4610634,5680,-46.779998779296875
1744246155.8341775,5832,-46.779998779296875
1744246156.3226042,6032,-46.779998779296875
1744246156.700531,6186,-46.310001373291016
1744246157.076673,6339,-45.83000183105469
1744246157.5679705,6539,-45.83000183105469
1744246158.0611567,6739,-45.83000183105469
1744246158.5552382,6939,-46.7599983215332
1744246159.0752037,7139,-46.7599983215332
1744246159.4682353,7293,-46.290000915527344
1744246159.8991811,7448,-46.81999969482422
1744246160.3347235,7607,-46.400001525878906
1744246160.750872,7767,-45.9900016784668
1744246161.2671545,7967,-45.9900016784668
1744246161.5481215,8077,-45.06999969482422
1744246161.934227,8232,-44.61000061035156
1744246162.2084787,8343,-43.70000076293945
1744246162.5836363,8497,-43.22999954223633
1744246162.9901161,8652,-43.08000183105469
1744246163.2627282,8761,-42.150001525878906
1744246163.7653363,8961,-42.150001525878906
1744246164.1656475,9117,-41.70000076293945
1744246164.4414558,9228,-40.790000915527344
1744246164.8257315,9379,-40.290000915527344
1744246165.2213697,9532,-40.310001373291016
1744246165.5435865,9654,-39.5099983215332
1744246165.9845457,9821,-39.65999984741211
1744246166.3835754,9977,-39.209999084472656
1744246166.7816532,10132,-39.220001220703125
1744246167.2136102,10301,-39.380001068115234
1744246167.367824,10362,-37.959999084472656
