Wall time,Step,Value
1744246438.5191147,726,-45.25
1744246439.1111064,926,-46.20000076293945
1744246442.5062354,2077,-47.1363639831543
1744246444.463855,2733,-45.45000076293945
1744246444.9193985,2887,-45.0
1744246446.3198473,3348,-43.921051025390625
1744246446.5070722,3407,-42.42499923706055
1744246446.5973463,3437,-40.71428680419922
1744246447.5966697,3776,-40.83695602416992
1744246448.0047069,3914,-40.54166793823242
1744246448.6948988,4127,-37.720001220703125
1744246449.0099907,4232,-36.7400016784668
1744246450.2757003,4659,-28.84000015258789
1744246450.565867,4756,-24.700000762939453
1744246450.6332967,4778,-23.850000381469727
1744246450.8262658,4842,-22.459999084472656
1744246451.178091,4958,-20.020000457763672
1744246452.059973,5252,-13.9399995803833
1744246452.239548,5311,-13.149999618530273
1744246452.2821312,5325,-12.550000190734863
1744246452.3747587,5355,-11.430000305175781
1744246452.5770674,5421,-9.260000228881836
1744246452.7124941,5464,-7.75
1744246452.8339195,5503,-7.110000133514404
1744246452.8657303,5513,-6.630000114440918
1744246452.911503,5527,-6.550000190734863
1744246452.9546306,5541,-6.039999961853027
1744246453.0412269,5569,-5.150000095367432
1744246453.087086,5584,-4.079999923706055
1744246453.128689,5597,-4.010000228881836
1744246453.163491,5608,-3.990000009536743
1744246453.272622,5643,-3.7300000190734863
1744246453.3041377,5653,-3.6500000953674316
1744246453.6072567,5752,-2.75
1744246453.6648915,5770,-2.490000009536743
1744246453.8492715,5830,-2.9600000381469727
1744246453.9300091,5856,-2.930000066757202
1744246454.0656304,5899,-2.9700000286102295
1744246454.241142,5955,-3.0199999809265137
1744246454.2869127,5970,-3.0199999809265137
1744246454.8247747,6142,-3.430000066757202
1744246455.0128691,6203,-3.930000066757202
1744246455.1431723,6244,-3.890000104904175
1744246455.2634044,6281,-3.390000104904175
1744246455.3085856,6295,-3.4100000858306885
1744246455.3952937,6322,-3.319999933242798
1744246455.830713,6458,-3.7699999809265137
1744246456.059229,6528,-3.2300000190734863
1744246456.2590456,6590,-2.880000114440918
1744246456.2845857,6598,-2.819999933242798
1744246456.366762,6624,-2.809999942779541
1744246456.4395206,6647,-2.7799999713897705
1744246456.482432,6661,-2.809999942779541
1744246456.5139477,6671,-2.7699999809265137
1744246456.6672602,6721,-2.2699999809265137
1744246456.7013843,6732,-2.240000009536743
1744246456.9518046,6813,-2.119999885559082
1744246457.0316906,6839,-2.109999895095825
1744246457.0683677,6851,-2.059999942779541
1744246457.1931698,6891,-2.009999990463257
1744246457.4406712,6971,-2.0
1744246457.54025,7004,-2.049999952316284
1744246457.5765636,7016,-2.0799999237060547
1744246457.662563,7043,-2.109999895095825
1744246457.7546015,7073,-2.200000047683716
1744246457.9904737,7149,-2.2300000190734863
1744246458.0236638,7160,-2.2100000381469727
1744246458.067786,7174,-2.2300000190734863
1744246458.1743083,7208,-2.1700000762939453
1744246458.2033503,7217,-2.0999999046325684
1744246458.2370687,7228,-2.0799999237060547
1744246458.266715,7237,-2.0999999046325684
1744246458.335835,7259,-2.109999895095825
1744246458.3693013,7270,-2.119999885559082
1744246458.479045,7305,-2.009999990463257
1744246458.522122,7319,-2.0299999713897705
1744246458.5541213,7329,-2.0
1744246458.715476,7381,-1.9500000476837158
1744246458.7409728,7389,-1.8899999856948853
1744246458.7790608,7401,-1.8700000047683716
1744246458.8872273,7436,-1.8700000047683716
1744246459.0442917,7486,-1.8899999856948853
1744246459.0907037,7501,-1.9299999475479126
1744246459.1623008,7524,-1.9600000381469727
1744246459.2055445,7537,-2.0
1744246459.2452316,7550,-2.0399999618530273
1744246459.287823,7564,-2.049999952316284
1744246459.3742368,7592,-2.0899999141693115
1744246459.4549575,7618,-2.130000114440918
1744246459.5304327,7642,-2.130000114440918
1744246459.5981104,7663,-2.0399999618530273
1744246459.679938,7689,-2.0799999237060547
1744246459.711454,7699,-2.0999999046325684
1744246459.8194065,7734,-2.0899999141693115
1744246459.8685162,7750,-2.140000104904175
1744246459.9005592,7760,-2.0799999237060547
1744246459.9296563,7769,-2.0399999618530273
1744246459.9989188,7791,-2.049999952316284
1744246460.0365465,7803,-2.0199999809265137
1744246460.1879427,7851,-2.009999990463257
1744246460.3782728,7912,-1.7999999523162842
1744246460.446246,7934,-1.8200000524520874
1744246460.483396,7946,-1.8300000429153442
1744246460.5267174,7960,-1.850000023841858
1744246460.5945625,7981,-1.8200000524520874
1744246460.6339223,7994,-1.809999942779541
1744246460.7011046,8015,-1.809999942779541
1744246460.7444937,8029,-1.7899999618530273
1744246460.7879887,8043,-1.8300000429153442
1744246460.8216274,8054,-1.850000023841858
1744246461.0241776,8118,-1.899999976158142
1744246461.0709732,8133,-1.909999966621399
1744246461.1145751,8147,-1.9600000381469727
1744246461.254389,8191,-1.9700000286102295
