Wall time,Step,Value
1744246670.912885,754,-47.0625
1744246671.4571683,954,-47.650001525878906
1744246674.5071065,2032,-46.09090805053711
1744246676.2711222,2644,-43.93333435058594
1744246676.8298855,2844,-44.3125
1744246678.1135216,3305,-43.342105865478516
1744246678.5292256,3457,-43.0625
1744246678.9667828,3610,-42.82143020629883
1744246679.9162562,3963,-42.923912048339844
1744246680.3380644,4119,-42.75
1744246680.7822447,4283,-39.040000915527344
1744246680.8308892,4299,-37.15999984741211
1744246681.5436945,4528,-28.010000228881836
1744246681.964055,4680,-24.40999984741211
1744246682.0181487,4700,-23.040000915527344
1744246682.0563157,4712,-21.1200008392334
1744246682.5302238,4884,-19.729999542236328
1744246683.1419086,5106,-10.5600004196167
1744246683.1731331,5117,-9.079999923706055
1744246683.4652104,5223,-9.270000457763672
1744246683.5346196,5247,-8.75
1744246683.6831517,5299,-7.860000133514404
1744246683.7854998,5336,-7.28000020980835
1744246683.885137,5372,-6.130000114440918
1744246683.9278615,5387,-6.130000114440918
1744246683.9656358,5401,-6.070000171661377
1744246683.9954891,5412,-6.059999942779541
1744246684.102375,5451,-4.710000038146973
1744246684.1337252,5461,-4.679999828338623
1744246684.1679866,5474,-4.380000114440918
1744246684.222961,5494,-4.460000038146973
1744246684.3014736,5523,-3.9600000381469727
1744246684.336797,5536,-3.4600000381469727
1744246684.7893474,5703,-3.380000114440918
1744246684.872386,5733,-3.359999895095825
1744246684.9051583,5745,-3.369999885559082
1744246685.1071308,5814,-3.809999942779541
1744246685.3052096,5880,-4.110000133514404
1744246685.6982431,6015,-4.860000133514404
1744246685.8647988,6074,-5.269999980926514
1744246686.2199945,6205,-4.880000114440918
1744246686.2530034,6217,-4.349999904632568
1744246686.3518498,6253,-4.369999885559082
1744246686.4393823,6285,-4.309999942779541
1744246686.4858167,6302,-3.890000104904175
1744246686.568117,6332,-3.630000114440918
1744246686.8214965,6424,-2.319999933242798
1744246687.0154653,6494,-2.359999895095825
1744246687.1622567,6547,-2.299999952316284
1744246687.2087069,6564,-2.3499999046325684
1744246687.2775722,6589,-2.359999895095825
1744246687.333601,6609,-2.3299999237060547
1744246687.368505,6622,-2.369999885559082
1744246687.5392363,6683,-2.2200000286102295
1744246687.5696576,6694,-2.2100000381469727
1744246687.8037124,6779,-2.109999895095825
1744246687.8714566,6803,-2.0899999141693115
1744246687.9128625,6818,-2.059999942779541
1744246688.0128815,6855,-2.0799999237060547
1744246688.283624,6954,-2.190000057220459
1744246688.3391538,6974,-2.1700000762939453
1744246688.3716915,6986,-2.1600000858306885
1744246688.4432828,7012,-2.180000066757202
1744246688.5124872,7038,-2.130000114440918
1744246688.713407,7111,-2.2200000286102295
1744246688.7389343,7120,-2.1700000762939453
1744246688.7799652,7135,-2.1700000762939453
1744246688.8760993,7169,-2.140000104904175
1744246688.9100294,7181,-2.119999885559082
1744246688.9497004,7195,-2.130000114440918
1744246688.9875612,7209,-2.1500000953674316
1744246689.0758724,7242,-2.2100000381469727
1744246689.104493,7252,-2.180000066757202
1744246689.2123911,7291,-2.1700000762939453
1744246689.2457955,7303,-2.1700000762939453
1744246689.275726,7314,-2.1600000858306885
1744246689.4161234,7364,-2.1500000953674316
1744246689.4536276,7378,-2.2100000381469727
1744246689.4839704,7389,-2.140000104904175
1744246689.584599,7425,-2.140000104904175
1744246689.7359993,7479,-2.2100000381469727
1744246689.769314,7491,-2.2200000286102295
1744246689.8333263,7514,-2.190000057220459
1744246689.8749914,7529,-2.200000047683716
1744246689.9117296,7542,-2.1700000762939453
1744246689.9413142,7552,-2.0999999046325684
1744246690.0108662,7576,-2.119999885559082
1744246690.087069,7603,-2.119999885559082
1744246690.1527615,7627,-2.130000114440918
1744246690.2251396,7653,-2.109999895095825
1744246690.308087,7681,-2.1700000762939453
1744246690.3453543,7694,-2.1600000858306885
1744246690.4593349,7733,-2.2200000286102295
1744246690.5019324,7747,-2.2200000286102295
1744246690.5326998,7757,-2.190000057220459
1744246690.5711186,7770,-2.190000057220459
1744246690.6450968,7795,-2.1600000858306885
1744246690.6801465,7807,-2.1600000858306885
1744246690.8104858,7851,-2.0899999141693115
1744246691.000127,7916,-2.0
1744246691.064106,7938,-1.9500000476837158
1744246691.100768,7950,-1.9700000286102295
1744246691.1333687,7961,-1.9299999475479126
1744246691.2017992,7985,-1.909999966621399
1744246691.2328632,7996,-1.8799999952316284
1744246691.2948635,8018,-1.850000023841858
1744246691.316169,8025,-1.7799999713897705
1744246691.3535883,8038,-1.809999942779541
1744246691.3913321,8051,-1.809999942779541
1744246691.541617,8103,-1.7400000095367432
1744246691.573493,8114,-1.7300000190734863
1744246691.6064827,8125,-1.7400000095367432
1744246691.7380884,8169,-1.75
1744246691.779572,8184,-1.7899999618530273
1744246691.8063226,8193,-1.7699999809265137
1744246691.8637817,8213,-1.75
1744246692.115267,8301,-1.7599999904632568
1744246692.13978,8310,-1.7200000286102295
1744246692.2269201,8340,-1.649999976158142
1744246692.2888975,8362,-1.7000000476837158
1744246692.3634207,8388,-1.7400000095367432
1744246692.4223795,8409,-1.7000000476837158
1744246692.490365,8433,-1.75
1744246692.521416,8444,-1.75
1744246692.591372,8469,-1.7599999904632568
1744246692.6668959,8496,-1.8300000429153442
1744246692.6955018,8506,-1.7999999523162842
1744246692.757954,8528,-1.7999999523162842
1744246692.9198065,8585,-1.840000033378601
1744246692.9556901,8598,-1.8799999952316284
1744246692.9938602,8612,-1.909999966621399
1744246693.0258424,8623,-1.940000057220459
1744246693.2718294,8710,-1.8799999952316284
1744246693.3423133,8735,-1.909999966621399
1744246693.3806417,8749,-1.909999966621399
1744246693.4847121,8786,-1.899999976158142
1744246693.6165345,8833,-1.9700000286102295
1744246693.686332,8858,-1.9800000190734863
1744246693.7200766,8870,-1.9800000190734863
1744246693.8190956,8905,-1.9299999475479126
1744246693.8670819,8922,-1.8700000047683716
1744246694.0362134,8982,-1.9500000476837158
1744246694.0743408,8995,-1.9500000476837158
1744246694.1008668,9004,-1.940000057220459
1744246694.1341758,9016,-1.9299999475479126
1744246694.2796102,9067,-1.809999942779541
1744246694.3137798,9079,-1.7999999523162842
1744246694.372493,9100,-1.7899999618530273
1744246694.4738069,9136,-1.7799999713897705
1744246694.5112727,9149,-1.7899999618530273
1744246694.5364685,9158,-1.7799999713897705
1744246694.5685208,9169,-1.7699999809265137
1744246694.7115817,9220,-1.850000023841858
1744246694.7853255,9246,-1.8600000143051147
1744246694.8220367,9259,-1.8799999952316284
1744246694.861321,9273,-1.909999966621399
1744246694.989064,9318,-1.9299999475479126
1744246695.1164682,9363,-1.9600000381469727
1744246695.1425176,9372,-1.9299999475479126
1744246695.176628,9384,-1.9500000476837158
1744246695.2039235,9393,-1.9299999475479126
1744246695.22913,9402,-1.8700000047683716
1744246695.253021,9410,-1.8300000429153442
1744246695.4974194,9496,-1.8700000047683716
1744246695.581956,9525,-1.7899999618530273
1744246695.6165512,9537,-1.7799999713897705
1744246695.8584335,9622,-1.7100000381469727
1744246695.996973,9671,-1.7799999713897705
1744246696.025981,9681,-1.7899999618530273
1744246696.0516193,9690,-1.7999999523162842
1744246696.0763528,9698,-1.7599999904632568
1744246696.105085,9708,-1.7200000286102295
1744246696.1941319,9739,-1.659999966621399
1744246696.348023,9792,-1.7699999809265137
1744246696.380258,9803,-1.7799999713897705
1744246696.4395804,9824,-1.75
1744246696.5777001,9872,-1.7999999523162842
1744246696.6166089,9886,-1.8300000429153442
1744246696.7074764,9918,-1.840000033378601
1744246696.7393239,9929,-1.809999942779541
1744246696.7741284,9941,-1.8200000524520874
1744246696.805974,9952,-1.809999942779541
1744246696.8943458,9982,-1.840000033378601
1744246696.9794018,10012,-1.850000023841858
1744246697.0054946,10021,-1.8200000524520874
1744246697.1068861,10056,-1.7699999809265137
1744246697.1367028,10066,-1.7400000095367432
1744246697.2640765,10111,-1.75
1744246697.3029583,10125,-1.7699999809265137
