Wall time,Step,Value
1744246340.87494,786,0.0625
1744246341.3740027,938,0.10000000149011612
1744246344.989489,2090,0.06818182021379471
1744246346.8889463,2698,0.11666666716337204
1744246347.2212546,2804,0.140625
1744246347.8636942,3009,0.2368421107530594
1744246347.9244502,3028,0.2750000059604645
1744246348.0176432,3058,0.3095238208770752
1744246348.2005332,3116,0.3695652186870575
1744246348.3989508,3179,0.3854166567325592
1744246348.555081,3228,0.47999998927116394
1744246348.7766635,3293,0.5099999904632568
1744246349.1040697,3396,0.7300000190734863
1744246349.2245874,3433,0.8399999737739563
1744246349.4486034,3504,0.8700000047683716
1744246349.5208259,3527,0.8999999761581421
1744246349.6443267,3565,0.9399999976158142
1744246350.1346095,3719,0.9700000286102295
1744246350.1798692,3733,0.9800000190734863
1744246350.2304227,3749,0.9800000190734863
1744246350.3314202,3781,0.9800000190734863
1744246350.4470096,3817,0.9900000095367432
1744246350.5619256,3853,0.9900000095367432
1744246350.705146,3898,0.9900000095367432
1744246350.7319095,3906,0.9900000095367432
1744246350.7830496,3922,1.0
1744246350.8160884,3932,1.0
1744246350.9058576,3960,1.0
1744246350.9537868,3975,1.0
1744246350.9959118,3988,1.0
1744246351.0314217,3999,1.0
1744246351.1183028,4026,1.0
1744246351.17265,4043,1.0
1744246351.431674,4124,1.0
1744246351.5305452,4155,1.0
1744246351.5697541,4167,1.0
1744246351.6532586,4193,1.0
1744246351.7696881,4229,1.0
1744246351.91611,4274,1.0
1744246351.9519153,4285,1.0
1744246352.2929077,4390,1.0
1744246352.3345656,4403,1.0
1744246352.463465,4443,1.0
1744246352.5674393,4475,1.0
1744246352.6032097,4486,1.0
1744246352.6711645,4507,1.0
1744246352.9401777,4590,1.0
1744246353.1278026,4648,1.0
1744246353.291664,4699,1.0
1744246353.3337328,4712,1.0
1744246353.4120846,4736,1.0
1744246353.4918668,4761,1.0
1744246353.5372374,4775,1.0
1744246353.7442117,4839,1.0
1744246353.7883916,4852,1.0
1744246354.0808265,4942,1.0
1744246354.148892,4963,1.0
1744246354.1846812,4974,1.0
1744246354.2910843,5007,1.0
1744246354.5507884,5087,1.0
1744246354.6264162,5109,1.0
1744246354.6652374,5121,1.0
1744246354.7486167,5146,1.0
1744246354.8170624,5167,1.0
1744246355.0320923,5234,1.0
1744246355.0611215,5243,1.0
1744246355.0966375,5254,1.0
1744246355.214625,5291,1.0
1744246355.2405667,5299,1.0
1744246355.2793434,5311,1.0
1744246355.3170288,5323,1.0
1744246355.4086497,5352,1.0
1744246355.4472065,5364,1.0
1744246355.5651395,5401,1.0
1744246355.6028726,5413,1.0
1744246355.6382966,5424,1.0
1744246355.791591,5471,1.0
1744246355.8315072,5483,1.0
1744246355.8640385,5493,1.0
1744246355.975635,5528,1.0
1744246356.1377559,5579,1.0
1744246356.1731062,5590,1.0
1744246356.246755,5613,1.0
1744246356.284766,5625,1.0
1744246356.3170946,5635,1.0
1744246356.3520281,5646,1.0
1744246356.4130824,5665,1.0
1744246356.4833136,5687,1.0
1744246356.5411656,5705,1.0
1744246356.6080668,5726,1.0
1744246356.684707,5750,1.0
1744246356.7288413,5764,1.0
1744246356.8402417,5799,1.0
1744246356.878505,5811,1.0
1744246356.9166055,5823,1.0
1744246356.9459074,5832,1.0
1744246357.0222013,5856,1.0
1744246357.0631292,5869,1.0
1744246357.2124975,5916,1.0
1744246357.477438,6000,1.0
1744246357.556619,6025,1.0
1744246357.5952375,6036,1.0
1744246357.6341186,6048,1.0
1744246357.7107682,6070,1.0
1744246357.7565749,6084,1.0
1744246357.84272,6111,1.0
1744246357.878241,6122,1.0
1744246357.9099643,6132,1.0
1744246357.9389908,6141,1.0
1744246358.17545,6216,1.0
1744246358.2138052,6228,1.0
1744246358.255983,6241,1.0
1744246358.4029021,6287,1.0
1744246358.4380853,6298,1.0
1744246358.4729643,6309,1.0
1744246358.552528,6334,1.0
1744246358.8472724,6426,1.0
1744246358.8919604,6440,1.0
1744246359.0003304,6474,1.0
1744246359.077175,6498,1.0
1744246359.151073,6521,1.0
1744246359.2272162,6545,1.0
1744246359.3009439,6568,1.0
1744246359.3357975,6579,1.0
1744246359.4088552,6602,1.0
1744246359.4755719,6623,1.0
1744246359.5287657,6640,1.0
1744246359.6018255,6663,1.0
1744246359.8076057,6727,1.0
1744246359.8402154,6737,1.0
1744246359.872544,6747,1.0
1744246359.9113255,6759,1.0
1744246360.2516346,6866,1.0
1744246360.328483,6890,1.0
1744246360.3516018,6897,1.0
1744246360.47246,6935,1.0
1744246360.6451912,6989,1.0
1744246360.7154167,7011,1.0
1744246360.7504168,7022,1.0
1744246360.8659558,7058,1.0
1744246360.9429789,7082,1.0
1744246361.1196694,7137,1.0
1744246361.1587121,7149,1.0
1744246361.1941082,7160,1.0
1744246361.241521,7175,1.0
1744246361.432599,7235,1.0
1744246361.4759479,7249,1.0
1744246361.5463467,7271,1.0
