Wall time,Step,Value
1744246530.9341512,147,0.5
1744246532.7432854,547,0.1666666716337204
1744246533.6526687,747,0.125
1744246534.5554786,947,0.10000000149011612
1744246539.7843602,2103,0.06818182021379471
1744246540.5835109,2279,0.0833333358168602
1744246542.5985556,2724,0.13333334028720856
1744246543.3169465,2882,0.140625
1744246545.8480148,3438,0.1315789520740509
1744246546.7655,3638,0.125
1744246547.6715872,3838,0.1190476194024086
1744246549.490074,4238,0.10869564861059189
1744246550.2087536,4396,0.1145833358168602
1744246552.6834264,4941,0.10999999940395355
1744246553.596907,5141,0.10999999940395355
1744246555.195678,5493,0.11999999731779099
1744246557.1185274,5920,0.20000000298023224
1744246557.211006,5940,0.23999999463558197
1744246558.2199829,6164,0.27000001072883606
1744246558.5365198,6233,0.28999999165534973
1744246558.9601066,6327,0.30000001192092896
1744246559.0608025,6349,0.33000001311302185
1744246559.9390252,6544,0.33000001311302185
1744246561.855749,6967,0.5699999928474426
1744246561.9076827,6978,0.6000000238418579
1744246562.0211737,7003,0.6399999856948853
1744246562.5098786,7110,0.6899999976158142
1744246562.610439,7132,0.7300000190734863
1744246563.315198,7287,0.7799999713897705
1744246563.8266764,7400,0.7799999713897705
1744246564.1651242,7474,0.800000011920929
1744246565.5320182,7776,0.800000011920929
1744246566.0168998,7883,0.7900000214576721
1744246566.2936614,7944,0.7900000214576721
1744246566.9031343,8079,0.7799999713897705
1744246567.5356658,8219,0.7900000214576721
1744246567.5914736,8231,0.7900000214576721
1744246567.795657,8276,0.7900000214576721
1744246568.1006815,8343,0.800000011920929
1744246569.0075672,8544,0.7699999809265137
1744246569.4898968,8651,0.7599999904632568
1744246570.64739,8906,0.75
1744246570.9329882,8968,0.7699999809265137
1744246570.9844751,8979,0.7900000214576721
1744246571.1518075,9015,0.800000011920929
1744246571.2707052,9040,0.8100000023841858
1744246571.4819658,9086,0.8500000238418579
1744246571.5609703,9103,0.8700000047683716
1744246572.0505698,9210,0.8999999761581421
1744246572.142748,9230,0.9100000262260437
1744246572.703421,9351,0.949999988079071
1744246573.0623078,9427,0.9800000190734863
1744246573.205731,9458,0.9900000095367432
1744246573.423535,9505,0.9900000095367432
1744246573.6422622,9551,0.9900000095367432
1744246573.7031317,9564,0.9900000095367432
1744246573.8601205,9597,0.9900000095367432
1744246573.926241,9611,0.9900000095367432
1744246574.207123,9670,1.0
1744246574.368502,9705,1.0
1744246574.7359045,9783,1.0
1744246575.0118058,9841,1.0
1744246575.0930142,9858,1.0
1744246575.2376108,9888,1.0
1744246575.3525333,9912,1.0
1744246575.4086573,9924,1.0
1744246575.464525,9936,1.0
1744246575.594094,9964,1.0
1744246575.7340364,9994,1.0
1744246575.804019,10009,1.0
1744246576.1731699,10088,1.0
1744246576.2244563,10099,1.0
1744246576.4001582,10137,1.0
1744246576.4553893,10148,1.0
1744246576.676296,10195,1.0
1744246577.1091564,10287,1.0
1744246577.2552135,10318,1.0
1744246577.307666,10329,1.0
1744246577.45629,10361,1.0
1744246577.5727823,10386,1.0
1744246577.6905534,10411,1.0
1744246577.9103408,10458,1.0
1744246577.9662828,10470,1.0
1744246578.0228891,10482,1.0
1744246578.1841168,10516,1.0
1744246578.2488728,10530,1.0
1744246578.3060935,10542,1.0
1744246578.3575199,10553,1.0
1744246578.4758964,10578,1.0
1744246578.5385003,10591,1.0
1744246578.7397861,10633,1.0
1744246578.7971902,10646,1.0
1744246578.8677588,10662,1.0
1744246579.0429006,10700,1.0
1744246579.1378696,10721,1.0
1744246579.1978974,10734,1.0
1744246579.2583303,10747,1.0
1744246579.4239922,10784,1.0
1744246579.5809944,10820,1.0
1744246579.6374545,10833,1.0
1744246579.694409,10846,1.0
1744246579.8389251,10879,1.0
