Wall time,Step,Value
1744246438.519122,726,0.125
1744246439.1111135,926,0.10000000149011612
1744246442.5062425,2077,0.06818182021379471
1744246444.4638624,2733,0.10000000149011612
1744246444.919406,2887,0.109375
1744246446.3198547,3348,0.1315789520740509
1744246446.5070796,3407,0.16249999403953552
1744246446.5973535,3437,0.2023809552192688
1744246447.5966768,3776,0.20652173459529877
1744246448.0047143,3914,0.2291666716337204
1744246448.694906,4127,0.28999999165534973
1744246449.0099976,4232,0.3199999928474426
1744246450.2757082,4659,0.49000000953674316
1744246450.5658743,4756,0.5799999833106995
1744246450.6333044,4778,0.6000000238418579
1744246450.826273,4842,0.6299999952316284
1744246451.1780982,4958,0.6899999976158142
1744246452.0599804,5252,0.8199999928474426
1744246452.2395554,5311,0.8199999928474426
1744246452.2821383,5325,0.8299999833106995
1744246452.3747659,5355,0.8500000238418579
1744246452.5770745,5421,0.8899999856948853
1744246452.712501,5464,0.9200000166893005
1744246452.833927,5503,0.9300000071525574
1744246452.8657367,5513,0.9399999976158142
1744246452.9115176,5527,0.9399999976158142
1744246452.954638,5541,0.949999988079071
1744246453.0412338,5569,0.9599999785423279
1744246453.0870953,5584,0.9800000190734863
1744246453.1286957,5597,0.9800000190734863
1744246453.163498,5608,0.9800000190734863
1744246453.2726295,5643,0.9800000190734863
1744246453.3041449,5653,0.9800000190734863
1744246453.6072638,5752,1.0
1744246453.6648984,5770,1.0
1744246453.849279,5830,0.9900000095367432
1744246453.9300165,5856,0.9900000095367432
1744246454.0656376,5899,0.9900000095367432
1744246454.2411473,5955,0.9900000095367432
1744246454.2869184,5970,0.9900000095367432
1744246454.8247802,6142,0.9800000190734863
1744246455.0128748,6203,0.9700000286102295
1744246455.1431777,6244,0.9700000286102295
1744246455.26341,6281,0.9800000190734863
1744246455.3085914,6295,0.9800000190734863
1744246455.3952997,6322,0.9800000190734863
1744246455.8307188,6458,0.9700000286102295
1744246456.059236,6528,0.9800000190734863
1744246456.2590528,6590,0.9900000095367432
1744246456.284593,6598,0.9900000095367432
1744246456.366769,6624,0.9900000095367432
1744246456.4395278,6647,0.9900000095367432
1744246456.4824393,6661,0.9900000095367432
1744246456.513955,6671,0.9900000095367432
1744246456.6672673,6721,1.0
1744246456.7013915,6732,1.0
1744246456.9518118,6813,1.0
1744246457.031698,6839,1.0
1744246457.0683737,6851,1.0
1744246457.1931767,6891,1.0
1744246457.4406786,6971,1.0
1744246457.540257,7004,1.0
1744246457.5765705,7016,1.0
1744246457.66257,7043,1.0
1744246457.7546086,7073,1.0
1744246457.9904811,7149,1.0
1744246458.0236704,7160,1.0
1744246458.0677931,7174,1.0
1744246458.1743155,7208,1.0
1744246458.2033575,7217,1.0
1744246458.2370758,7228,1.0
1744246458.2667222,7237,1.0
1744246458.3358424,7259,1.0
1744246458.3693085,7270,1.0
1744246458.4790523,7305,1.0
1744246458.5221288,7319,1.0
1744246458.5541284,7329,1.0
1744246458.7154832,7381,1.0
1744246458.7409801,7389,1.0
1744246458.779068,7401,1.0
1744246458.887235,7436,1.0
1744246459.0442991,7486,1.0
1744246459.0907109,7501,1.0
1744246459.1623077,7524,1.0
1744246459.2055516,7537,1.0
1744246459.245239,7550,1.0
1744246459.2878304,7564,1.0
1744246459.3742442,7592,1.0
1744246459.4549646,7618,1.0
1744246459.5304394,7642,1.0
1744246459.598117,7663,1.0
1744246459.6799455,7689,1.0
1744246459.711461,7699,1.0
1744246459.8194137,7734,1.0
1744246459.8685215,7750,1.0
1744246459.900566,7760,1.0
1744246459.9296634,7769,1.0
1744246459.9989262,7791,1.0
1744246460.0365536,7803,1.0
1744246460.18795,7851,1.0
1744246460.3782797,7912,1.0
1744246460.4462526,7934,1.0
1744246460.4834032,7946,1.0
1744246460.5267246,7960,1.0
1744246460.5945692,7981,1.0
1744246460.6339297,7994,1.0
1744246460.7011118,8015,1.0
1744246460.7445009,8029,1.0
1744246460.7879958,8043,1.0
1744246460.8216348,8054,1.0
1744246461.024185,8118,1.0
1744246461.0709805,8133,1.0
1744246461.1145828,8147,1.0
1744246461.254396,8191,1.0
1744246461.2991188,8205,1.0
1744246461.3314552,8215,1.0
1744246461.397346,8236,1.0
1744246461.7005742,8332,1.0
1744246461.7431636,8346,1.0
1744246461.8479304,8379,1.0
1744246461.9328115,8406,1.0
1744246462.013998,8431,1.0
1744246462.0809035,8452,1.0
1744246462.1512766,8474,1.0
1744246462.193623,8487,1.0
1744246462.2566764,8507,1.0
1744246462.3331785,8531,1.0
1744246462.3794231,8546,1.0
1744246462.4573104,8571,1.0
1744246462.6302536,8625,1.0
1744246462.6702864,8638,1.0
1744246462.7117026,8651,1.0
1744246462.7519965,8664,1.0
1744246463.0811646,8770,1.0
1744246463.1652343,8797,1.0
1744246463.2038715,8809,1.0
1744246463.3123786,8844,1.0
1744246463.4505546,8888,1.0
1744246463.5314162,8914,1.0
1744246463.5770504,8929,1.0
1744246463.6753006,8960,1.0
1744246463.7452238,8982,1.0
1744246463.9241807,9039,1.0
1744246463.9638183,9052,1.0
1744246463.99494,9062,1.0
1744246464.0389576,9076,1.0
1744246464.2353044,9139,1.0
1744246464.2788181,9153,1.0
1744246464.3433337,9173,1.0
1744246464.4582455,9210,1.0
1744246464.488303,9219,1.0
1744246464.5259786,9231,1.0
1744246464.5522416,9239,1.0
1744246464.6977572,9286,1.0
1744246464.760445,9306,1.0
1744246464.8017426,9319,1.0
1744246464.842196,9332,1.0
1744246464.9819736,9376,1.0
1744246465.1325562,9424,1.0
1744246465.158046,9432,1.0
1744246465.202316,9446,1.0
1744246465.2403457,9458,1.0
1744246465.2730904,9468,1.0
1744246465.3104637,9480,1.0
1744246465.353693,9494,1.0
1744246465.5899694,9569,1.0
1744246465.710943,9608,1.0
1744246465.74869,9620,1.0
1744246466.036235,9712,1.0
1744246466.1764038,9756,1.0
1744246466.2143476,9768,1.0
1744246466.2461736,9778,1.0
1744246466.277728,9788,1.0
1744246466.320859,9802,1.0
1744246466.4311411,9837,1.0
1744246466.5865347,9887,1.0
1744246466.6320827,9902,1.0
1744246466.7093918,9926,1.0
1744246466.8707917,9977,1.0
1744246466.9047494,9988,1.0
1744246467.0009818,10018,1.0
1744246467.0427217,10031,1.0
1744246467.0838354,10044,1.0
1744246467.11524,10054,1.0
1744246467.2381744,10093,1.0
1744246467.3511758,10129,1.0
1744246467.3851194,10140,1.0
1744246467.4970982,10176,1.0
1744246467.541266,10190,1.0
1744246467.6923528,10238,1.0
1744246467.7272322,10249,1.0
1744246467.8783047,10297,1.0
1744246467.9236875,10312,1.0
1744246467.9469385,10319,1.0
1744246468.0192301,10342,1.0
1744246468.050448,10352,1.0
1744246468.088265,10364,1.0
1744246468.1728845,10391,1.0
1744246468.218415,10406,1.0
1744246468.2562313,10418,1.0
1744246468.2967913,10431,1.0
1744246468.4407818,10477,1.0
1744246468.4722977,10487,1.0
1744246468.5043085,10497,1.0
1744246468.5438447,10510,1.0
1744246468.5757658,10520,1.0
1744246468.643707,10542,1.0
1744246468.7294927,10569,1.0
1744246468.800701,10592,1.0
1744246468.8382487,10604,1.0
1744246468.9818132,10650,1.0
1744246469.011349,10659,1.0
1744246469.0815916,10682,1.0
1744246469.1542034,10705,1.0
1744246469.2973232,10751,1.0
1744246469.3420744,10766,1.0
1744246469.4449675,10799,1.0
1744246469.484711,10812,1.0
1744246469.5195503,10823,1.0
1744246469.553494,10834,1.0
1744246469.5881505,10845,1.0
1744246469.615275,10854,1.0
1744246469.6507695,10865,1.0
1744246469.7222219,10887,1.0
1744246469.7561653,10898,1.0
1744246469.8028514,10913,1.0
1744246469.8428197,10926,1.0
1744246469.9213176,10951,1.0
1744246470.0381584,10989,1.0
1744246470.1698046,11031,1.0
1744246470.2927747,11070,1.0
1744246470.3424344,11086,1.0
1744246470.3771472,11097,1.0
1744246470.5035505,11138,1.0
1744246470.6155574,11174,1.0
1744246470.652537,11186,1.0
1744246470.6874554,11197,1.0
1744246470.7186708,11207,1.0
1744246470.749807,11217,1.0
1744246470.7862144,11229,1.0
1744246470.8973207,11265,1.0
1744246470.9427283,11280,1.0
1744246470.979396,11292,1.0
1744246471.013423,11303,1.0
1744246471.1153705,11336,1.0
1744246471.38006,11422,1.0
1744246471.4869602,11456,1.0
1744246471.531375,11470,1.0
1744246471.6168785,11497,1.0
1744246471.6603012,11511,1.0
1744246471.694735,11522,1.0
1744246471.7322001,11534,1.0
1744246471.767562,11545,1.0
1744246471.8347123,11566,1.0
1744246471.8667567,11576,1.0
1744246471.9137254,11591,1.0
1744246471.9777691,11611,1.0
1744246472.005905,11620,1.0
1744246472.1236274,11657,1.0
1744246472.196864,11680,1.0
1744246472.259132,11699,1.0
1744246472.2913115,11709,1.0
1744246472.3264005,11720,1.0
1744246472.5510247,11790,1.0
1744246472.5867941,11801,1.0
1744246472.6206467,11812,1.0
1744246472.7439935,11850,1.0
1744246472.8605242,11887,1.0
1744246472.9307122,11908,1.0
1744246473.0430362,11944,1.0
1744246473.1788297,11987,1.0
1744246473.3355172,12037,1.0
1744246473.3692482,12048,1.0
1744246473.4099941,12061,1.0
1744246473.4807608,12084,1.0
1744246473.5541847,12107,1.0
1744246473.588141,12118,1.0
1744246473.622818,12129,1.0
1744246473.6970315,12152,1.0
1744246473.7705321,12175,1.0
1744246473.8049223,12186,1.0
1744246473.8416262,12198,1.0
1744246473.8769848,12209,1.0
1744246473.949717,12232,1.0
1744246473.9841547,12243,1.0
1744246474.0181534,12254,1.0
1744246474.088696,12277,1.0
1744246474.2130156,12317,1.0
1744246474.2988749,12345,1.0
1744246474.4124308,12382,1.0
1744246474.4467847,12393,1.0
1744246474.509903,12413,1.0
1744246474.581076,12436,1.0
1744246474.6551378,12459,1.0
1744246474.725245,12481,1.0
1744246474.7606347,12491,1.0
1744246474.8752003,12528,1.0
1744246474.944012,12550,1.0
1744246474.9730573,12559,1.0
1744246475.0990775,12599,1.0
1744246475.2520635,12648,1.0
1744246475.3622038,12683,1.0
1744246475.3935776,12693,1.0
1744246475.4196458,12701,1.0
1744246475.4478698,12710,1.0
1744246475.4746132,12718,1.0
1744246475.5042882,12727,1.0
1744246475.6486125,12773,1.0
1744246475.7132523,12793,1.0
1744246475.7447212,12803,1.0
1744246475.7845862,12816,1.0
1744246475.818648,12827,1.0
1744246475.8449457,12835,1.0
1744246475.9354753,12863,1.0
1744246476.0109413,12887,1.0
1744246476.2692842,12968,1.0
1744246476.3672657,12997,1.0
1744246476.5425851,13051,1.0
1744246476.5766668,13062,1.0
1744246476.6154013,13074,1.0
1744246476.7226524,13107,1.0
1744246476.7996526,13131,1.0
1744246476.8400378,13144,1.0
1744246476.8774385,13156,1.0
1744246476.9734783,13186,1.0
1744246477.1605334,13246,1.0
1744246477.241298,13272,1.0
1744246477.3022316,13291,1.0
1744246477.339637,13303,1.0
1744246477.4218001,13329,1.0
1744246477.521409,13361,1.0
1744246477.561226,13374,1.0
1744246477.626633,13395,1.0
1744246477.7702625,13441,1.0
1744246477.8092558,13454,1.0
1744246477.8804295,13477,1.0
1744246477.985066,13511,1.0
1744246478.0504642,13532,1.0
1744246478.1535277,13565,1.0
1744246478.1965733,13579,1.0
1744246478.273615,13604,1.0
1744246478.3447812,13627,1.0
1744246478.3817143,13639,1.0
1744246478.4185176,13651,1.0
1744246478.4497137,13661,1.0
1744246478.4775913,13670,1.0
1744246478.5273128,13686,1.0
1744246478.5580757,13696,1.0
1744246478.592342,13707,1.0
1744246478.7782836,13767,1.0
1744246478.9162214,13812,1.0
1744246478.952545,13824,1.0
1744246478.98945,13836,1.0
1744246479.3657296,13955,1.0
1744246479.402932,13967,1.0
1744246479.4775593,13991,1.0
1744246479.6545725,14048,1.0
1744246479.6870751,14058,1.0
1744246479.7243981,14070,1.0
1744246479.8255334,14101,1.0
1744246479.862202,14113,1.0
1744246479.9578617,14143,1.0
1744246480.0713015,14179,1.0
1744246480.1031117,14189,1.0
1744246480.1774645,14212,1.0
1744246480.208885,14222,1.0
1744246480.2515407,14235,1.0
1744246480.28521,14246,1.0
1744246480.3165038,14255,1.0
1744246480.5402155,14323,1.0
1744246480.6423872,14356,1.0
1744246480.712444,14378,1.0
1744246480.7799587,14400,1.0
1744246480.9089255,14441,1.0
1744246480.9464514,14453,1.0
1744246481.0689423,14492,1.0
1744246481.1099973,14505,1.0
1744246481.1485765,14517,1.0
1744246481.1928077,14531,1.0
1744246481.2907653,14562,1.0
1744246481.5731523,14652,1.0
1744246481.6022172,14661,1.0
1744246481.667319,14681,1.0
1744246481.7431445,14705,1.0
1744246481.8473988,14738,1.0
1744246481.8892272,14751,1.0
1744246481.925808,14763,1.0
1744246482.06702,14809,1.0
1744246482.1065524,14822,1.0
1744246482.1723187,14843,1.0
1744246482.2103012,14855,1.0
1744246482.2391462,14864,1.0
1744246482.308334,14886,1.0
1744246482.3460343,14898,1.0
1744246482.4559486,14933,1.0
1744246482.520309,14954,1.0
1744246482.681609,15006,1.0
1744246482.7208428,15018,1.0
1744246482.8215337,15050,1.0
1744246482.9209278,15082,1.0
1744246483.038521,15120,1.0
1744246483.1173515,15146,1.0
1744246483.2306478,15183,1.0
1744246483.2725031,15197,1.0
1744246483.4050176,15240,1.0
1744246483.4357345,15250,1.0
1744246483.8057969,15369,1.0
1744246483.876553,15392,1.0
1744246483.9056208,15401,1.0
1744246483.9335268,15410,1.0
1744246483.9623575,15419,1.0
1744246484.0345466,15442,1.0
1744246484.1068397,15465,1.0
1744246484.1723144,15486,1.0
1744246484.2776208,15520,1.0
1744246484.361468,15547,1.0
1744246484.3930383,15557,1.0
1744246484.4993932,15591,1.0
1744246484.5339062,15602,1.0
1744246484.5976255,15622,1.0
1744246484.7160814,15659,1.0
1744246484.7505298,15670,1.0
1744246484.8166723,15691,1.0
1744246484.8623738,15706,1.0
1744246484.9545596,15735,1.0
1744246485.087536,15778,1.0
1744246485.1186082,15788,1.0
1744246485.1980312,15813,1.0
1744246485.2734046,15837,1.0
1744246485.424505,15886,1.0
1744246485.4537563,15895,1.0
1744246485.531928,15920,1.0
1744246485.5730717,15933,1.0
1744246485.612104,15946,1.0
1744246485.6426144,15956,1.0
1744246485.7149224,15979,1.0
1744246485.8581564,16025,1.0
1744246485.933671,16049,1.0
1744246485.967137,16060,1.0
1744246486.0697787,16093,1.0
1744246486.1971536,16133,1.0
1744246486.2899292,16163,1.0
1744246486.3893936,16195,1.0
1744246486.4209032,16205,1.0
1744246486.567125,16252,1.0
1744246486.6355307,16274,1.0
1744246486.6700745,16285,1.0
1744246486.7407684,16308,1.0
1744246486.8001187,16327,1.0
1744246486.8314264,16337,1.0
1744246486.937851,16370,1.0
1744246487.1160724,16425,1.0
1744246487.1678128,16441,1.0
1744246487.1966429,16450,1.0
1744246487.2804742,16477,1.0
1744246487.3183758,16489,1.0
1744246487.4631464,16535,1.0
1744246487.601023,16579,1.0
1744246487.6836538,16605,1.0
1744246487.7708318,16633,1.0
1744246487.8033779,16643,1.0
1744246487.8375409,16654,1.0
1744246487.9044967,16675,1.0
1744246487.933567,16684,1.0
1744246488.0384047,16717,1.0
1744246488.0668845,16726,1.0
1744246488.0958848,16735,1.0
1744246488.1249316,16744,1.0
1744246488.1544998,16753,1.0
1744246488.3511043,16816,1.0
1744246488.4299247,16841,1.0
1744246488.5075657,16866,1.0
1744246488.544008,16877,1.0
1744246488.5764985,16887,1.0
1744246488.7663937,16947,1.0
1744246488.9128032,16994,1.0
1744246488.9860377,17017,1.0
1744246489.026217,17030,1.0
1744246489.2266183,17094,1.0
1744246489.2620711,17105,1.0
1744246489.2959616,17116,1.0
1744246489.3277004,17126,1.0
1744246489.3637996,17137,1.0
1744246489.4794357,17173,1.0
1744246489.555529,17197,1.0
1744246489.589888,17208,1.0
1744246489.796874,17272,1.0
1744246489.8403323,17285,1.0
1744246489.941672,17317,1.0
1744246490.0164282,17341,1.0
1744246490.0420172,17349,1.0
1744246490.0764236,17360,1.0
1744246490.1496172,17383,1.0
1744246490.2545764,17417,1.0
1744246490.294294,17430,1.0
1744246490.3319476,17442,1.0
1744246490.3835948,17458,1.0
1744246490.4249697,17471,1.0
1744246490.4628532,17483,1.0
1744246490.5010507,17495,1.0
1744246490.5322754,17505,1.0
1744246490.5645692,17515,1.0
1744246490.6669977,17548,1.0
1744246490.7052498,17560,1.0
1744246490.782916,17585,1.0
1744246490.8212895,17597,1.0
1744246490.8597658,17609,1.0
1744246490.9431477,17635,1.0
1744246490.976877,17646,1.0
1744246491.0057483,17655,1.0
1744246491.1515894,17702,1.0
1744246491.3964603,17780,1.0
1744246491.4689686,17803,1.0
1744246491.5228348,17820,1.0
1744246491.557639,17831,1.0
1744246491.5926437,17842,1.0
1744246491.687848,17871,1.0
1744246491.7255762,17883,1.0
1744246491.7637744,17895,1.0
1744246491.833074,17917,1.0
1744246491.8737776,17930,1.0
1744246491.9312537,17947,1.0
1744246492.137965,18013,1.0
1744246492.2085006,18035,1.0
1744246492.248482,18048,1.0
1744246492.3544078,18081,1.0
1744246492.3860667,18091,1.0
1744246492.4519765,18112,1.0
1744246492.4873974,18123,1.0
1744246492.5274303,18136,1.0
1744246492.5630414,18147,1.0
1744246492.5970445,18158,1.0
1744246492.6656277,18179,1.0
1744246492.7102547,18193,1.0
1744246492.739413,18202,1.0
1744246492.841555,18234,1.0
1744246492.9591534,18271,1.0
1744246493.0580792,18302,1.0
1744246493.1003036,18315,1.0
1744246493.1659763,18336,1.0
1744246493.198602,18346,1.0
1744246493.2304075,18356,1.0
1744246493.2770545,18371,1.0
1744246493.305983,18380,1.0
1744246493.3466213,18393,1.0
1744246493.6067812,18475,1.0
1744246493.685715,18500,1.0
1744246493.7618365,18524,1.0
1744246493.8308587,18546,1.0
1744246493.8715618,18559,1.0
1744246494.0760884,18623,1.0
1744246494.1100266,18634,1.0
1744246494.1808596,18656,1.0
1744246494.2198002,18668,1.0
1744246494.2517803,18678,1.0
1744246494.4097226,18728,1.0
1744246494.484264,18751,1.0
1744246494.5599887,18775,1.0
1744246494.626633,18796,1.0
1744246494.6558135,18805,1.0
1744246494.6963127,18818,1.0
1744246494.7931006,18848,1.0
1744246494.8360891,18861,1.0
1744246494.8770647,18874,1.0
1744246494.950918,18897,1.0
1744246494.9830923,18907,1.0
1744246495.076819,18936,1.0
1744246495.1187613,18949,1.0
1744246495.2341247,18985,1.0
1744246495.272741,18997,1.0
1744246495.3007066,19006,1.0
1744246495.3744748,19030,1.0
1744246495.508811,19073,1.0
1744246495.545662,19085,1.0
1744246495.579494,19096,1.0
1744246495.6900783,19131,1.0
1744246495.8639634,19186,1.0
1744246495.9360683,19209,1.0
1744246496.0454788,19244,1.0
1744246496.074353,19253,1.0
1744246496.177422,19285,1.0
1744246496.2116952,19296,1.0
1744246496.3948057,19355,1.0
1744246496.4631486,19377,1.0
1744246496.4946647,19387,1.0
1744246496.5259562,19397,1.0
1744246496.5571527,19407,1.0
1744246496.5828114,19415,1.0
1744246496.6170013,19426,1.0
1744246496.6516526,19437,1.0
1744246496.7571087,19470,1.0
1744246496.7929926,19481,1.0
1744246496.8299987,19493,1.0
1744246496.860926,19503,1.0
1744246496.9316444,19526,1.0
1744246496.9932652,19545,1.0
1744246497.0216603,19554,1.0
1744246497.1317968,19589,1.0
1744246497.1662679,19600,1.0
1744246497.283103,19637,1.0
1744246497.3904822,19672,1.0
1744246497.5229285,19714,1.0
1744246497.699948,19771,1.0
1744246497.727913,19780,1.0
1744246497.766026,19792,1.0
1744246497.8881228,19831,1.0
1744246497.9932828,19864,1.0
1744246498.1666408,19919,1.0
1744246498.2571669,19948,1.0
1744246498.3545773,19979,1.0
1744246498.430449,20004,1.0
1744246498.4688911,20016,1.0
1744246498.5814264,20052,1.0
1744246498.7148533,20095,1.0
1744246498.8362777,20134,1.0
1744246499.0084062,20189,1.0
1744246499.1884606,20245,1.0
1744246499.2562773,20267,1.0
1744246499.2965527,20280,1.0
1744246499.3617766,20301,1.0
1744246499.3988106,20313,1.0
1744246499.4754472,20338,1.0
1744246499.7286868,20420,1.0
1744246500.04313,20521,1.0
1744246500.074528,20531,1.0
1744246500.1410992,20552,1.0
1744246500.1665616,20560,1.0
1744246500.2645288,20591,1.0
1744246500.300776,20602,1.0
1744246500.3731108,20625,1.0
1744246500.5074146,20668,1.0
1744246500.5870929,20693,1.0
1744246500.738497,20742,1.0
1744246500.7757375,20754,1.0
1744246500.8082385,20764,1.0
1744246500.845338,20776,1.0
1744246500.8763468,20786,1.0
1744246501.0287507,20835,1.0
1744246501.0660834,20847,1.0
1744246501.1354349,20869,1.0
1744246501.1633515,20878,1.0
1744246501.295708,20920,1.0
1744246501.4601514,20973,1.0
1744246501.506333,20988,1.0
1744246501.6406853,21031,1.0
1744246501.7403095,21063,1.0
1744246501.871706,21105,1.0
1744246502.0552952,21163,1.0
1744246502.5512524,21321,1.0
1744246502.5848885,21332,1.0
1744246502.739445,21382,1.0
