Wall time,Step,Value
1744246670.9128902,754,0.0625
1744246671.457174,954,0.05000000074505806
1744246674.5071123,2032,0.09090909361839294
1744246676.2711275,2644,0.13333334028720856
1744246676.829891,2844,0.125
1744246678.1135273,3305,0.14473684132099152
1744246678.5292308,3457,0.15000000596046448
1744246678.9667885,3610,0.1547619104385376
1744246679.9162621,3963,0.15217390656471252
1744246680.33807,4119,0.15625
1744246680.78225,4283,0.25
1744246680.8308964,4299,0.28999999165534973
1744246681.5437021,4528,0.47999998927116394
1744246681.964062,4680,0.5600000023841858
1744246682.018156,4700,0.5899999737739563
1744246682.056321,4712,0.6299999952316284
1744246682.5302293,4884,0.6700000166893005
1744246683.1419141,5106,0.8700000047683716
1744246683.1731384,5117,0.8999999761581421
1744246683.4652157,5223,0.8799999952316284
1744246683.534625,5247,0.8899999856948853
1744246683.6831567,5299,0.9100000262260437
1744246683.7855055,5336,0.9200000166893005
1744246683.8851426,5372,0.9399999976158142
1744246683.9278667,5387,0.9399999976158142
1744246683.9656413,5401,0.9399999976158142
1744246683.9954941,5412,0.9399999976158142
1744246684.1023803,5451,0.9599999785423279
1744246684.133731,5461,0.9599999785423279
1744246684.1679957,5474,0.9599999785423279
1744246684.222969,5494,0.9599999785423279
1744246684.301479,5523,0.9700000286102295
1744246684.3368022,5536,0.9800000190734863
1744246684.7893555,5703,0.9800000190734863
1744246684.8723915,5733,0.9800000190734863
1744246684.9051645,5745,0.9800000190734863
1744246685.1071362,5814,0.9700000286102295
1744246685.3052151,5880,0.9700000286102295
1744246685.6982484,6015,0.9599999785423279
1744246685.864804,6074,0.9599999785423279
1744246686.2200003,6205,0.9700000286102295
1744246686.2530086,6217,0.9800000190734863
1744246686.351855,6253,0.9800000190734863
1744246686.4393878,6285,0.9800000190734863
1744246686.485822,6302,0.9900000095367432
1744246686.5681226,6332,0.9900000095367432
1744246686.8215036,6424,1.0
1744246687.0154705,6494,1.0
1744246687.1622617,6547,1.0
1744246687.2087119,6564,1.0
1744246687.2775776,6589,1.0
1744246687.3336067,6609,1.0
1744246687.3685107,6622,1.0
1744246687.5392423,6683,1.0
1744246687.569663,6694,1.0
1744246687.8037179,6779,1.0
1744246687.871462,6803,1.0
1744246687.9128678,6818,1.0
1744246688.0128868,6855,1.0
1744246688.283629,6954,1.0
1744246688.339159,6974,1.0
1744246688.371697,6986,1.0
1744246688.4432886,7012,1.0
1744246688.5124927,7038,1.0
1744246688.7134123,7111,1.0
1744246688.73894,7120,1.0
1744246688.7799706,7135,1.0
1744246688.876105,7169,1.0
1744246688.910035,7181,1.0
1744246688.9497058,7195,1.0
1744246688.9875667,7209,1.0
1744246689.075878,7242,1.0
1744246689.1044981,7252,1.0
1744246689.2123966,7291,1.0
1744246689.245801,7303,1.0
1744246689.2757316,7314,1.0
1744246689.4161289,7364,1.0
1744246689.453633,7378,1.0
1744246689.4839756,7389,1.0
1744246689.5846047,7425,1.0
1744246689.7360046,7479,1.0
1744246689.7693195,7491,1.0
1744246689.8333318,7514,1.0
